,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,0,3,3,3,3,7,7,7,7,7,7,7,0,
1,1,1,1,5,5,5,5,5,5,5,5,5,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,0,3,3,3,3,7,7,7,7,7,7,7,0,
5,0,0,2,5,5,5,5,5,5,5,5,5,3,
6,2,3,3,5,5,5,5,5,5,5,5,5,4,
7,0,0,4,4,5,5,8,8,4,4,8,4,3,
8,0,0,4,4,5,5,8,8,4,4,8,4,3,
9,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,1,1,1,1,1,1,1,1,1,1,1,1,1,
11,0,0,2,0,0,2,8,8,10,10,10,10,3,
12,0,0,2,5,5,5,5,5,5,5,5,5,4,
13,0,0,0,0,6,6,6,6,10,9,12,13,1,
14,2,3,3,3,3,3,3,3,3,3,3,3,4,
15,2,3,3,3,3,3,3,3,3,3,3,3,4,
16,0,2,2,5,6,6,6,6,6,6,6,6,2,
17,2,3,3,3,3,3,3,3,3,3,3,3,4,
18,2,3,3,3,3,3,3,3,3,3,3,3,4,
19,2,0,0,0,6,7,7,9,9,9,9,9,4,
20,2,3,3,3,3,3,3,3,3,3,3,3,4,
21,2,3,3,3,3,3,3,3,3,3,3,3,4,
22,2,3,3,3,5,3,5,5,5,5,5,5,4,
23,1,1,1,1,1,1,1,1,1,1,1,1,1,
24,0,0,0,0,0,0,0,0,0,0,0,13,0,
25,0,0,0,5,6,6,8,9,9,11,11,11,2,
26,2,3,3,3,3,3,3,3,3,3,3,3,4,
27,0,0,0,0,6,7,7,9,9,9,9,9,4,
28,2,2,2,2,4,4,4,4,2,2,12,12,2,
29,2,2,4,4,4,4,4,4,8,8,4,12,2,
30,1,1,1,1,1,1,1,1,1,1,1,1,1,
31,1,1,1,1,1,1,1,1,1,1,1,1,1,
32,1,1,1,1,1,1,1,1,1,1,1,1,1,
33,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,0,0,0,1,0,0,0,0,0,1,12,12,1,
35,0,3,3,3,3,7,7,7,7,7,7,7,0,
36,2,2,4,4,4,4,8,8,4,4,8,4,3,
37,0,0,4,4,4,4,4,4,8,8,4,8,3,
38,2,2,2,4,0,0,0,0,6,9,12,12,2,
39,2,2,2,5,6,6,6,6,6,6,6,6,2,
40,2,2,2,2,2,2,2,2,2,2,2,2,2,
41,0,0,0,2,2,2,2,2,2,2,2,2,2,
42,2,2,2,2,2,2,2,2,2,2,2,2,2,
43,2,2,2,2,2,2,2,2,2,2,2,2,2,
44,2,2,4,4,4,4,4,4,8,8,4,12,2,
45,2,2,2,4,6,6,6,6,6,6,6,6,2,
46,1,2,2,5,6,6,6,6,6,6,6,6,2,
47,2,0,4,4,4,4,4,4,8,8,4,8,3,
48,2,2,4,4,4,4,4,4,8,8,4,12,3,
49,2,2,4,4,4,4,4,4,8,8,4,8,3,
50,1,2,2,5,6,6,2,2,2,11,11,11,2,
51,2,2,4,4,6,6,8,8,8,11,11,11,2,
52,0,0,4,4,0,0,8,8,10,10,10,10,3,
53,2,2,4,4,4,4,4,4,8,8,4,12,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.13870444490100675,0.22808534717166437,0.21415896217353714,0.21418120023364645,0.21347932187364382,0.2208775334062408,0.21888781849482783,0.21766149218686212,0.21727271127312248,0.21735481053703554,0.21163767034440115,0.20989109710681994,0.26611552042511416,
NMI,0.37249524694307939,0.59050527108972029,0.60756918955615513,0.57516928606461892,0.53763963938560033,0.59522183647905125,0.60822471785858478,0.62656201469406481,0.66924830211234765,0.6829761769702104,0.68477557951459667,0.67188309930303847,1.0,
Silhoutte,0.00062805,0.09027573,0.08938962,0.0949392,0.13891968,0.17776554,0.19538338,0.2305013,0.24043051,0.25840536,0.29080337,0.28791564,0.12162704,
