,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,1,4,5,5,5,2,0
1,0,3,3,3,6,6,0,1
2,1,1,4,5,5,5,2,0
3,2,2,2,2,2,2,0,2
4,1,1,4,5,5,5,2,0
5,2,2,4,2,2,2,2,3
6,2,3,3,3,6,6,0,1
7,2,2,2,2,2,6,0,2
8,1,1,1,1,1,1,1,4
9,1,1,1,5,6,7,0,0
10,2,2,2,2,2,2,0,2
11,1,1,1,1,1,1,1,4
12,2,2,2,2,2,2,0,2
13,2,2,2,2,2,2,0,2
14,2,2,2,2,2,2,0,5
15,2,2,2,2,2,2,0,5
16,2,2,2,2,2,2,0,2
17,2,2,2,2,2,2,0,2
18,2,2,2,2,2,2,0,5
19,2,2,2,2,2,2,0,5
20,2,2,2,2,2,2,0,2
21,2,2,2,2,6,6,0,1
22,2,2,2,2,2,2,0,2
23,2,2,2,5,2,7,0,5
24,2,2,2,2,2,2,0,2
25,1,1,1,1,1,1,1,4
26,2,2,2,2,3,3,1,3
27,1,1,1,1,1,1,1,4
28,1,1,3,3,3,3,1,6
29,1,1,3,3,3,3,1,6
30,1,3,3,3,3,3,1,3
31,1,1,3,1,1,1,1,6
32,1,1,1,1,1,1,1,6
33,1,1,1,1,1,1,1,4
34,1,1,1,1,1,1,1,4
35,2,3,4,4,4,4,2,3
36,1,1,1,1,1,1,1,7
37,1,1,1,1,1,1,1,7
38,1,1,1,1,1,1,1,4
39,1,1,1,1,1,1,1,4
40,1,1,1,1,1,1,1,6
41,1,1,4,4,4,4,1,6
42,1,1,1,1,1,1,1,6
43,1,1,1,1,1,1,1,7
44,1,1,1,1,1,1,1,4
45,1,1,1,1,1,1,1,4
46,1,1,1,1,1,1,1,4
47,1,1,1,1,1,1,1,4
48,1,1,1,1,1,1,1,4
49,1,1,1,1,1,1,1,4
50,1,3,3,3,3,3,1,3
51,1,3,3,3,3,3,1,3
52,0,3,4,3,3,3,2,3
53,1,1,1,1,1,1,1,7
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.061960435700585764,0.057999924474440495,0.06244045221732211,0.062092408145707906,0.06477062300744177,0.06238808120287246,0.07754136034807545,0.03923805875088721
NMI,0.53236110757370303,0.42568521183709479,0.60353555182370899,0.51636774769200811,0.67718497107325815,0.65488953875617206,1.0,0.59917061771319402
