,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,2,3,3,3,3,3,3,3,3,3,0,
1,2,3,3,3,3,7,7,7,7,7,0,
2,2,3,3,3,3,3,3,3,3,3,0,
3,2,2,2,2,2,2,2,2,2,2,2,
4,2,3,3,3,3,3,3,3,3,3,0,
5,2,3,3,3,3,3,3,3,3,3,0,
6,0,0,0,0,0,7,7,7,7,7,0,
7,0,2,4,4,6,6,6,6,6,6,1,
8,0,0,4,4,6,6,6,6,6,6,1,
9,2,2,2,2,2,2,2,2,2,2,2,
10,2,2,2,2,2,2,2,2,2,2,2,
11,2,3,3,3,3,3,3,3,3,3,0,
12,0,2,2,2,6,7,7,7,7,7,0,
13,2,2,2,2,2,2,2,2,2,2,2,
14,2,2,2,2,2,2,2,2,2,2,2,
15,2,2,2,5,5,5,5,5,5,5,2,
16,0,3,3,5,5,5,5,5,5,5,2,
17,2,3,3,5,5,5,5,5,5,5,2,
18,2,3,3,5,5,5,5,5,5,5,2,
19,0,0,0,5,5,5,5,9,9,9,3,
20,0,3,4,4,4,4,4,4,4,4,3,
21,2,2,2,2,2,7,7,7,7,7,2,
22,2,3,3,5,5,5,5,5,5,5,2,
23,2,2,2,2,2,2,2,2,2,2,2,
24,2,2,2,2,2,2,2,2,10,10,4,
25,1,1,1,1,1,1,1,1,10,10,4,
26,2,3,3,3,2,7,6,0,8,0,2,
27,1,1,1,1,1,1,1,1,1,1,4,
28,1,1,1,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,1,1,1,4,
30,1,1,4,4,4,4,4,4,9,9,3,
31,0,0,4,4,4,4,4,4,4,4,3,
32,0,0,4,4,4,4,4,4,4,4,3,
33,1,3,3,3,3,3,3,1,3,3,0,
34,1,1,4,4,1,1,1,4,4,4,4,
35,2,3,3,3,3,3,3,3,3,3,0,
36,1,1,1,1,6,6,6,6,6,6,1,
37,1,1,1,1,1,7,8,8,8,8,4,
38,1,1,1,1,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,1,1,1,1,4,
40,1,1,1,1,1,1,1,1,1,1,4,
41,1,1,1,1,1,1,1,1,1,1,4,
42,1,1,1,1,1,1,1,1,1,1,4,
43,1,1,1,1,1,1,1,1,1,1,4,
44,1,1,1,1,1,1,1,1,1,1,4,
45,1,1,1,1,1,1,1,1,1,1,4,
46,0,0,4,0,4,7,8,8,8,8,4,
47,99,99,99,99,99,99,99,99,99,99,99,
48,0,3,3,3,0,0,0,0,4,11,2,
49,1,1,1,1,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,1,1,1,1,4,
51,1,1,1,1,1,1,1,1,1,1,4,
52,0,0,0,3,3,3,3,3,3,11,0,
53,1,1,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,1,1,1,1,4,
Modularity,0.15135463585019493,0.16204638661588885,0.16243160593392486,0.1735772498450908,0.1809965980677213,0.17061096280609234,0.16988407658362864,0.16418864266296465,0.1595874652444654,0.1569844065270046,0.20160272206707164,
NMI,0.45175605763770221,0.50018944649909436,0.59752704129368828,0.61873590170899939,0.76217671020987932,0.72691952530160242,0.74540148334123957,0.71578171514729594,0.72989973384773688,0.74277311315118766,1.0,
Silhoutte,0.11416522,0.14388884,0.13188096,0.16011401,0.20162223,0.20085242,0.21293419,0.24270795,0.19099407,0.19864336,0.18495986,
