,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,2,1,1,6,6,6,6,6,0,0
1,1,0,1,1,1,7,7,7,7,2,0
2,2,3,3,3,3,3,3,3,3,2,1
3,2,2,4,4,4,4,4,4,4,0,2
4,2,2,0,0,6,6,6,6,6,0,0
5,2,3,3,3,3,3,3,3,3,2,1
6,1,1,1,1,1,7,7,7,7,2,0
7,2,3,2,2,2,2,2,2,2,1,1
8,2,3,3,3,3,3,3,3,3,2,1
9,2,2,4,4,4,4,4,4,4,0,2
10,0,2,0,0,6,6,6,6,6,0,0
11,0,3,3,3,3,3,3,3,3,2,1
12,1,1,2,2,2,2,2,2,2,1,3
13,2,1,2,2,2,2,2,2,2,1,1
14,2,3,3,3,3,3,3,3,3,2,1
15,2,1,2,4,2,4,4,4,4,0,4
16,2,3,3,3,3,3,3,3,3,2,1
17,2,3,3,3,3,3,3,3,3,2,1
18,2,3,3,3,3,3,3,3,3,2,1
19,2,2,4,4,4,4,4,4,4,0,2
20,2,2,2,2,2,2,2,2,2,0,1
21,2,3,3,3,3,7,7,7,7,2,1
22,2,2,4,4,4,4,4,4,10,0,1
23,1,1,2,2,2,2,2,2,2,1,5
24,1,1,2,2,2,2,2,2,2,1,5
25,2,3,3,3,3,3,3,3,3,2,1
26,0,1,2,5,5,5,5,5,9,3,6
27,1,1,1,1,1,1,1,1,1,3,3
28,2,3,4,4,4,4,4,4,4,0,4
29,1,1,1,1,1,1,1,1,1,3,3
30,2,2,4,4,4,4,4,4,10,0,4
31,2,2,4,4,4,4,4,4,10,0,4
32,2,2,4,4,4,4,4,4,10,0,4
33,2,2,4,4,4,4,4,4,4,0,2
34,1,1,1,5,5,5,5,9,5,3,7
35,1,1,1,1,1,1,1,1,1,3,3
36,0,0,0,5,5,5,5,9,5,3,7
37,2,2,1,1,1,1,1,1,1,3,7
38,2,2,1,1,1,1,1,1,5,3,7
39,2,2,1,1,1,1,1,1,1,3,7
40,2,2,2,2,2,7,8,8,8,3,7
41,1,2,1,1,1,1,8,8,8,3,7
42,2,2,1,1,1,1,8,8,8,3,7
43,1,1,1,1,1,1,1,5,9,3,3
44,1,1,1,1,1,1,1,1,1,3,3
45,1,3,3,5,5,5,5,5,9,3,6
46,1,1,2,2,2,2,2,2,2,1,5
47,0,3,3,3,3,3,3,3,3,2,1
48,1,1,1,1,1,1,1,1,1,3,7
49,1,1,1,1,1,1,1,1,1,3,3
50,1,1,1,1,1,1,1,1,1,3,3
51,1,1,2,2,2,2,2,2,2,1,5
52,1,1,2,2,2,2,2,2,2,1,5
53,1,1,1,1,1,1,1,1,1,3,3
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0707239900573744,0.09727929074063521,0.10874878645570847,0.11221448040964424,0.11823005905207717,0.12684659647179697,0.12159769377063859,0.12099522941851894,0.1051139447567019,0.14636801758424425,0.09719008013040116
NMI,0.22443870253756143,0.42489450403249146,0.6111879539851589,0.70531909955833272,0.72102630179550975,0.79540484056651251,0.79773135114197424,0.78176453332839824,0.75392263141685356,1.0,0.62767685598679346
