,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,2,1,1,6,6,6,6,6,0,
1,1,0,1,1,1,7,7,7,7,2,
2,2,3,3,3,3,3,3,3,3,2,
3,2,2,4,4,4,4,4,4,4,0,
4,2,2,0,0,6,6,6,6,6,0,
5,2,3,3,3,3,3,3,3,3,2,
6,1,1,1,1,1,7,7,7,7,2,
7,2,3,2,2,2,2,2,2,2,1,
8,2,3,3,3,3,3,3,3,3,2,
9,2,2,4,4,4,4,4,4,4,0,
10,0,2,0,0,6,6,6,6,6,0,
11,0,3,3,3,3,3,3,3,3,2,
12,1,1,2,2,2,2,2,2,2,1,
13,2,1,2,2,2,2,2,2,2,1,
14,2,3,3,3,3,3,3,3,3,2,
15,2,1,2,4,2,4,4,4,4,0,
16,2,3,3,3,3,3,3,3,3,2,
17,2,3,3,3,3,3,3,3,3,2,
18,2,3,3,3,3,3,3,3,3,2,
19,2,2,4,4,4,4,4,4,4,0,
20,2,2,2,2,2,2,2,2,2,0,
21,2,3,3,3,3,7,7,7,7,2,
22,2,2,4,4,4,4,4,4,10,0,
23,1,1,2,2,2,2,2,2,2,1,
24,1,1,2,2,2,2,2,2,2,1,
25,2,3,3,3,3,3,3,3,3,2,
26,0,1,2,5,5,5,5,5,9,3,
27,1,1,1,1,1,1,1,1,1,3,
28,2,3,4,4,4,4,4,4,4,0,
29,1,1,1,1,1,1,1,1,1,3,
30,2,2,4,4,4,4,4,4,10,0,
31,2,2,4,4,4,4,4,4,10,0,
32,2,2,4,4,4,4,4,4,10,0,
33,2,2,4,4,4,4,4,4,4,0,
34,1,1,1,5,5,5,5,9,5,3,
35,1,1,1,1,1,1,1,1,1,3,
36,0,0,0,5,5,5,5,9,5,3,
37,2,2,1,1,1,1,1,1,1,3,
38,2,2,1,1,1,1,1,1,5,3,
39,2,2,1,1,1,1,1,1,1,3,
40,2,2,2,2,2,7,8,8,8,3,
41,1,2,1,1,1,1,8,8,8,3,
42,2,2,1,1,1,1,8,8,8,3,
43,1,1,1,1,1,1,1,5,9,3,
44,1,1,1,1,1,1,1,1,1,3,
45,1,3,3,5,5,5,5,5,9,3,
46,1,1,2,2,2,2,2,2,2,1,
47,0,3,3,3,3,3,3,3,3,2,
48,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,2,2,2,2,2,2,2,1,
52,1,1,2,2,2,2,2,2,2,1,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.0707239900573744,0.09727929074063521,0.10874878645570847,0.11221448040964424,0.11823005905207717,0.12684659647179697,0.12159769377063859,0.12099522941851894,0.1051139447567019,0.14636801758424425,
NMI,0.22443870253756143,0.42489450403249146,0.6111879539851589,0.70531909955833272,0.72102630179550975,0.79540484056651251,0.79773135114197424,0.78176453332839824,0.75392263141685356,1.0,
Silhoutte,0.06450108,0.10847316,0.11802557,0.1359126,0.17182429,0.20463001,0.23296213,0.24455064,0.23069283,0.12420863,
