,Cluster 2,Cluster 3,Cluster 4,Louvain,
0,0,3,3,10,
1,99,99,99,99,
2,99,99,99,99,
3,2,2,4,23,
4,2,3,3,10,
5,2,3,4,10,
6,1,3,3,10,
7,0,3,3,10,
8,99,99,99,99,
9,2,2,2,23,
10,2,2,4,23,
11,99,99,99,99,
12,1,1,4,10,
13,2,2,4,10,
14,1,1,1,10,
15,99,99,99,99,
16,1,1,1,10,
17,99,99,99,99,
18,1,1,1,10,
19,1,1,1,10,
20,99,99,99,99,
21,1,1,1,10,
22,99,99,99,99,
23,2,2,2,23,
24,99,99,99,99,
25,99,99,99,99,
26,1,1,1,10,
27,1,1,1,22,
28,1,1,1,22,
29,1,1,1,22,
30,2,2,2,23,
31,2,2,2,23,
32,2,2,2,23,
33,2,2,2,23,
34,99,99,99,99,
35,2,2,4,23,
36,99,99,99,99,
37,99,99,99,99,
38,1,1,1,22,
39,99,99,99,99,
40,1,1,1,22,
41,99,99,99,99,
42,99,99,99,99,
43,2,2,4,23,
44,99,99,99,99,
45,99,99,99,99,
46,99,99,99,99,
47,99,99,99,99,
48,99,99,99,99,
49,1,1,1,22,
50,1,1,1,22,
51,1,1,1,22,
52,1,1,1,22,
53,2,2,4,23,
54,99,99,99,99,
55,99,99,99,99,
Modularity,0.031740513607783155,0.053731995073035735,0.053426692440669124,0.10675886864381917,
NMI,0.52364531582350637,0.62272597583844969,0.52909790492728259,1.0,
Silhoutte,0.49240283,0.53962928,0.52539254,0.61058418,
