,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,1,3,3,5,5,7,1,
1,1,3,3,5,5,7,1,
2,1,3,3,5,5,7,1,
3,2,2,2,5,5,5,0,
4,0,3,3,5,5,7,1,
5,0,0,4,4,4,4,1,
6,2,3,4,5,5,7,1,
7,1,3,4,5,5,7,1,
8,0,0,4,4,4,4,1,
9,2,2,2,5,5,5,0,
10,1,1,4,4,4,4,1,
11,1,1,4,4,4,4,1,
12,1,1,4,5,5,7,1,
13,1,1,4,4,4,5,2,
14,1,3,3,3,3,3,2,
15,2,3,3,3,3,3,2,
16,2,3,3,3,3,3,2,
17,2,3,3,3,3,3,2,
18,2,3,3,3,3,3,2,
19,2,3,3,3,3,3,2,
20,2,3,3,3,3,3,2,
21,2,2,3,3,3,3,2,
22,1,1,1,1,1,1,3,
23,2,2,2,5,5,5,0,
24,2,2,2,5,5,5,0,
25,1,1,1,1,1,1,2,
26,1,1,3,3,3,3,2,
27,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,0,
31,2,2,2,2,2,2,0,
32,2,2,2,2,2,2,0,
33,2,2,2,2,2,2,0,
34,2,2,2,2,2,2,0,
35,1,3,3,5,5,7,1,
36,1,1,1,1,1,1,3,
37,1,1,1,2,6,6,3,
38,1,1,1,2,6,6,3,
39,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,3,
41,0,0,0,0,2,6,3,
42,1,1,1,1,1,1,3,
43,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,3,
50,2,2,2,2,2,2,0,
51,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,3,
54,1,1,1,1,1,1,3,
55,99,99,99,99,99,99,99,
Modularity,0.08440809508058943,0.15270515603309756,0.2077827734483395,0.19918653635021463,0.20119357657768197,0.2109817326694241,0.24148872360850213,
NMI,0.44601049222766087,0.57730481651052235,0.76499262947817159,0.68702800608368719,0.70093610196455558,0.79405077524914336,1.0,
Silhoutte,0.00697142,0.09925166,0.20089019,0.22996399,0.27348876,0.33478466,0.24973639,
