,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,0,3,4,4,6,4,0,1
2,2,3,3,3,3,3,0,2
3,1,1,1,1,1,1,0,3
4,2,2,2,5,5,5,0,0
5,0,3,4,5,6,4,0,4
6,1,1,4,4,6,4,0,1
7,0,0,4,4,4,7,0,4
8,1,1,1,1,4,7,0,3
9,1,3,3,3,3,6,0,5
10,0,0,4,4,4,6,0,6
11,1,1,4,4,6,4,0,6
12,0,0,4,4,6,4,0,6
13,0,3,3,3,4,6,0,3
14,2,2,2,2,2,2,1,5
15,2,2,2,2,2,2,1,7
16,2,2,2,2,3,3,1,4
17,2,2,2,2,2,2,1,7
18,2,2,2,2,2,2,1,7
19,2,2,2,2,2,2,1,4
20,2,2,2,2,2,2,1,7
21,2,2,2,2,2,2,1,4
22,1,1,1,1,1,1,1,3
23,2,3,3,3,3,3,0,2
24,0,3,4,4,4,6,0,6
25,1,1,1,1,1,1,3,3
26,2,2,2,2,2,2,1,4
27,1,1,1,1,1,1,3,8
28,1,1,1,1,1,1,3,8
29,1,1,1,1,1,1,3,8
30,2,3,3,3,3,3,0,2
31,1,1,1,1,1,1,3,3
32,2,3,3,3,3,3,0,2
33,1,1,1,1,1,1,3,8
34,1,1,1,1,1,1,3,3
35,1,1,1,1,1,1,3,3
36,1,1,1,1,1,1,3,8
37,1,1,1,1,1,1,3,8
38,1,1,1,1,1,1,3,8
39,1,1,1,1,1,1,3,8
40,1,1,1,1,1,1,3,8
41,1,1,1,1,1,1,3,4
42,1,1,1,1,1,1,3,8
43,99,99,99,99,99,99,99,99
44,1,1,1,1,1,1,3,8
45,1,1,1,1,1,1,3,8
46,1,1,1,1,1,1,3,8
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,3,8
49,1,1,1,1,1,1,3,8
50,1,1,1,1,1,1,3,3
51,1,1,1,1,1,1,3,8
52,1,1,1,1,1,1,3,3
53,1,1,1,1,1,1,3,8
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,3,3
Modularity,0.08028868811259071,0.08962383239947805,0.11053044109073835,0.11055336912496268,0.1052356063539159,0.10263206753509252,0.12710500275134995,0.06430383900977768
NMI,0.51426972036645258,0.59183114635310785,0.64839488690752567,0.70261495423362286,0.673719997870451,0.66055301761300989,1.0,0.50062443938784396
