,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,1,0,5,5,5,5,5,5,0,0
1,1,1,1,5,5,5,8,8,8,2,1
2,2,2,2,2,2,5,5,5,5,0,2
3,0,3,3,3,3,3,6,3,3,0,3
4,0,0,0,5,5,5,5,5,5,0,0
5,2,2,2,2,2,2,2,2,2,2,2
6,1,1,1,5,5,5,8,8,8,2,1
7,0,3,3,3,6,3,6,6,6,0,1
8,2,2,2,2,2,2,2,6,6,2,1
9,2,3,3,3,3,3,6,3,3,0,3
10,0,1,0,5,5,5,5,5,5,0,0
11,2,2,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2,2
13,2,3,4,4,4,4,6,4,4,1,2
14,2,2,2,2,2,2,2,2,2,2,2
15,2,3,3,3,3,7,6,3,3,0,2
16,2,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2
19,0,3,3,3,3,3,6,3,3,0,3
20,2,3,2,2,2,7,3,2,10,0,2
21,0,0,1,5,5,5,8,8,8,2,1
22,2,3,2,2,3,7,3,2,10,0,2
23,0,3,4,4,4,4,4,4,4,1,4
24,1,1,4,4,4,4,4,9,4,1,4
25,2,2,2,2,2,2,2,2,2,2,2
26,0,1,4,4,4,6,4,9,9,1,4
27,1,1,1,1,1,1,1,1,1,3,5
28,2,2,2,3,3,7,3,3,2,0,2
29,1,1,1,1,1,1,1,1,1,3,5
30,2,3,3,3,3,7,3,3,10,0,3
31,2,3,3,3,3,7,3,3,10,0,3
32,2,2,3,3,3,7,3,3,10,0,3
33,2,3,3,3,3,7,3,3,10,0,3
34,1,1,1,1,6,6,6,6,6,3,1
35,1,1,1,5,5,5,5,1,1,3,2
36,0,0,0,0,6,6,7,6,6,3,1
37,1,3,1,1,1,1,4,9,10,3,6
38,1,3,1,1,1,1,7,7,6,3,6
39,1,1,1,1,1,1,1,1,1,3,6
40,0,3,1,1,6,6,7,7,7,3,6
41,1,3,2,2,2,2,7,7,7,3,6
42,1,3,1,1,1,1,7,7,7,3,6
43,1,1,1,1,1,1,4,9,9,3,5
44,1,1,1,1,1,1,1,1,1,3,5
45,1,1,4,4,4,6,4,9,9,1,4
46,1,1,4,4,6,4,7,4,4,1,4
47,2,2,2,2,2,2,2,2,2,2,2
48,1,1,1,1,1,1,1,1,1,3,5
49,1,1,1,1,1,1,1,1,1,3,2
50,1,1,1,1,1,1,1,1,1,3,5
51,1,1,4,4,4,4,4,4,4,1,4
52,1,1,4,4,4,4,4,4,4,1,4
53,1,1,1,1,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.11269686015940925,0.08874974574439716,0.1268880019273683,0.13535608666563306,0.12524557558863303,0.11534671404015262,0.1111628011586719,0.11617225264007068,0.10380897462850819,0.14974034871696396,0.108315720202928
NMI,0.37533194727041658,0.3276372316730552,0.65785990800501593,0.6888453619849032,0.63066555971994931,0.67846881350808264,0.64413009401671029,0.66151167204450478,0.64488481374752582,1.0,0.5570474526859186
