,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,3,3,5,5,0,0
1,0,3,3,5,6,0,1
2,1,3,3,5,5,0,0
3,2,2,2,2,2,1,2
4,1,2,4,5,5,0,0
5,2,2,4,5,5,0,3
6,2,3,3,3,6,1,1
7,2,2,2,2,2,1,2
8,1,1,1,1,1,2,3
9,2,2,4,5,5,1,4
10,2,2,2,2,2,1,2
11,1,1,1,1,1,2,3
12,2,2,2,2,2,1,2
13,2,2,2,2,2,1,2
14,2,2,2,2,2,1,4
15,2,2,2,2,2,1,2
16,2,2,2,2,2,1,2
17,2,2,2,2,2,1,2
18,2,2,2,2,2,1,2
19,2,2,2,2,2,1,2
20,2,2,2,2,2,1,2
21,2,2,2,2,6,1,1
22,2,2,2,2,2,1,2
23,2,2,2,2,2,1,2
24,2,1,1,1,1,1,2
25,1,1,1,1,1,2,5
26,2,2,2,2,2,1,4
27,1,1,1,1,1,2,3
28,1,3,3,3,3,2,6
29,1,3,3,3,3,2,6
30,2,3,3,3,3,2,4
31,1,3,3,3,3,2,6
32,1,3,3,3,3,2,6
33,1,1,1,1,1,2,5
34,1,1,1,1,1,2,3
35,0,0,4,4,4,2,6
36,1,1,4,4,4,2,7
37,1,1,1,4,4,2,7
38,1,1,1,1,1,2,3
39,1,1,1,1,1,2,5
40,1,1,1,1,1,2,8
41,1,1,1,1,1,2,8
42,1,1,1,1,1,2,8
43,1,1,1,1,1,2,3
44,1,1,1,1,1,2,5
45,1,1,1,1,1,2,3
46,1,2,2,2,2,2,3
47,1,1,1,1,1,2,5
48,1,1,1,1,1,2,5
49,1,1,1,1,1,2,5
50,2,3,3,3,3,2,6
51,2,3,3,3,3,2,6
52,1,3,3,3,3,2,6
53,1,1,1,1,1,2,3
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.060077359576410305,0.06750744855577331,0.0639314608760222,0.06843035516871729,0.06889470493502337,0.0835038125755822,0.047004422589560876
NMI,0.54488146126135861,0.4547187233014322,0.45150567718728657,0.57903796644138372,0.57989281547682303,1.0,0.57375297604839204
