,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,2,2,2,2,2,2,6,6,6,6,6,0,0
1,0,0,0,0,0,0,7,9,9,9,9,0,1
2,2,2,2,2,2,2,8,8,8,6,11,0,0
3,2,2,4,4,6,6,2,2,2,2,2,1,0
4,0,2,2,2,2,2,6,6,6,6,6,0,0
5,2,2,2,2,2,2,8,8,8,8,11,0,0
6,0,0,2,2,2,1,8,9,9,9,9,0,1
7,0,0,0,0,0,0,5,9,10,10,10,0,1
8,0,0,0,0,0,5,5,5,10,10,10,3,1
9,1,3,3,3,3,3,3,3,3,3,3,2,1
10,2,2,2,2,2,2,8,8,8,8,8,0,0
11,2,2,2,5,5,7,8,8,8,8,8,0,0
12,2,2,2,2,2,2,8,8,8,8,8,0,0
13,2,2,2,2,2,6,2,2,2,2,2,0,0
14,2,3,4,4,4,4,4,4,4,4,4,1,2
15,2,3,4,4,4,4,4,4,4,4,4,1,2
16,2,2,2,2,2,2,8,8,8,8,11,0,0
17,2,2,4,4,4,4,4,4,4,4,4,1,2
18,2,3,4,4,4,4,4,4,4,4,4,1,2
19,0,3,4,4,4,4,4,4,4,11,4,1,2
20,2,3,4,4,4,4,4,4,4,4,4,1,2
21,2,2,2,2,2,2,8,9,9,9,11,0,0
22,2,3,4,4,4,4,4,4,4,4,4,1,2
23,0,2,0,2,6,6,2,2,2,2,2,1,1
24,2,2,2,2,6,6,2,2,2,2,2,1,0
25,1,2,1,1,6,6,2,2,2,2,2,1,0
26,2,2,2,2,2,6,2,9,9,9,9,0,0
27,1,1,1,1,1,1,1,1,1,11,12,3,3
28,1,3,3,3,3,3,3,3,3,3,3,2,4
29,1,1,1,1,1,1,1,1,1,11,12,3,3
30,1,3,3,3,3,3,3,3,3,3,3,2,4
31,1,3,3,3,3,3,3,3,3,3,3,2,4
32,1,3,3,3,3,3,3,3,3,3,3,2,4
33,1,3,3,3,3,3,3,3,3,3,3,2,4
34,2,3,3,3,3,3,3,3,3,3,3,2,5
35,0,1,2,2,2,2,6,6,6,6,6,0,0
36,1,1,1,5,5,1,1,1,1,10,10,3,5
37,2,2,4,4,6,6,8,9,5,5,5,3,5
38,2,1,1,5,6,1,8,8,8,11,12,3,5
39,1,1,1,5,5,7,7,7,7,7,7,3,5
40,1,1,1,1,1,5,5,5,5,5,5,3,6
41,0,2,2,5,5,5,5,5,5,5,5,3,6
42,2,2,1,1,1,5,5,5,5,5,5,3,6
43,1,1,1,1,1,1,1,1,1,1,1,3,3
44,1,1,1,1,1,1,1,1,1,1,1,3,3
45,1,1,1,1,1,1,1,1,1,1,1,3,3
46,1,1,1,5,5,7,7,7,7,7,7,3,5
47,0,2,4,0,6,6,8,9,5,5,5,3,5
48,1,1,1,1,1,1,1,1,1,1,1,3,3
49,1,1,1,1,1,1,1,1,7,1,1,3,0
50,1,1,1,5,5,7,7,7,7,7,7,3,5
51,0,0,0,5,5,7,7,7,7,7,7,3,5
52,1,1,2,2,2,2,6,6,6,6,6,3,0
53,1,1,1,1,1,1,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09139156507530943,0.13613750158917304,0.17047455461462904,0.15700875324475855,0.16101612238134988,0.14848928095805322,0.14894215225420387,0.14731084884125453,0.14773935216336603,0.14058385930835887,0.1395824678543523,0.20445920328717596,0.15192114091263784
NMI,0.2856881804986276,0.49546954436279178,0.6193039712131857,0.60614814712832277,0.68200262626188524,0.61322701191701878,0.6051720691325515,0.64996384076799796,0.66712539151057004,0.64736407782153993,0.66502088191858033,1.0,0.55854092480643913
