,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
0,1,3,3,5,5
1,0,3,3,5,6
2,1,3,3,5,5
3,2,2,2,2,2
4,1,2,4,5,5
5,2,2,4,5,5
6,2,3,3,3,6
7,2,2,2,2,2
8,1,1,1,1,1
9,2,2,4,5,5
10,2,2,2,2,2
11,1,1,1,1,1
12,2,2,2,2,2
13,2,2,2,2,2
14,2,2,2,2,2
15,2,2,2,2,2
16,2,2,2,2,2
17,2,2,2,2,2
18,2,2,2,2,2
19,2,2,2,2,2
20,2,2,2,2,2
21,2,2,2,2,6
22,2,2,2,2,2
23,2,2,2,2,2
24,2,1,1,1,1
25,1,1,1,1,1
26,2,2,2,2,2
27,1,1,1,1,1
28,1,3,3,3,3
29,1,3,3,3,3
30,2,3,3,3,3
31,1,3,3,3,3
32,1,3,3,3,3
33,1,1,1,1,1
34,1,1,1,1,1
35,0,0,4,4,4
36,1,1,4,4,4
37,1,1,1,4,4
38,1,1,1,1,1
39,1,1,1,1,1
40,1,1,1,1,1
41,1,1,1,1,1
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,1,1,1,1,1
46,1,2,2,2,2
47,1,1,1,1,1
48,1,1,1,1,1
49,1,1,1,1,1
50,2,3,3,3,3
51,2,3,3,3,3
52,1,3,3,3,3
53,1,1,1,1,1
54,99,99,99,99,99
55,99,99,99,99,99
