,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,1,0,5,5,5,5,5,5
1,1,1,1,5,5,5,8,8,8
2,2,2,2,2,2,5,5,5,5
3,0,3,3,3,3,3,6,3,3
4,0,0,0,5,5,5,5,5,5
5,2,2,2,2,2,2,2,2,2
6,1,1,1,5,5,5,8,8,8
7,0,3,3,3,6,3,6,6,6
8,2,2,2,2,2,2,2,6,6
9,2,3,3,3,3,3,6,3,3
10,0,1,0,5,5,5,5,5,5
11,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2
13,2,3,4,4,4,4,6,4,4
14,2,2,2,2,2,2,2,2,2
15,2,3,3,3,3,7,6,3,3
16,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
19,0,3,3,3,3,3,6,3,3
20,2,3,2,2,2,7,3,2,10
21,0,0,1,5,5,5,8,8,8
22,2,3,2,2,3,7,3,2,10
23,0,3,4,4,4,4,4,4,4
24,1,1,4,4,4,4,4,9,4
25,2,2,2,2,2,2,2,2,2
26,0,1,4,4,4,6,4,9,9
27,1,1,1,1,1,1,1,1,1
28,2,2,2,3,3,7,3,3,2
29,1,1,1,1,1,1,1,1,1
30,2,3,3,3,3,7,3,3,10
31,2,3,3,3,3,7,3,3,10
32,2,2,3,3,3,7,3,3,10
33,2,3,3,3,3,7,3,3,10
34,1,1,1,1,6,6,6,6,6
35,1,1,1,5,5,5,5,1,1
36,0,0,0,0,6,6,7,6,6
37,1,3,1,1,1,1,4,9,10
38,1,3,1,1,1,1,7,7,6
39,1,1,1,1,1,1,1,1,1
40,0,3,1,1,6,6,7,7,7
41,1,3,2,2,2,2,7,7,7
42,1,3,1,1,1,1,7,7,7
43,1,1,1,1,1,1,4,9,9
44,1,1,1,1,1,1,1,1,1
45,1,1,4,4,4,6,4,9,9
46,1,1,4,4,6,4,7,4,4
47,2,2,2,2,2,2,2,2,2
48,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1
51,1,1,4,4,4,4,4,4,4
52,1,1,4,4,4,4,4,4,4
53,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
