,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,7,7,7,7,7,7,7,1,1
2,0,3,3,3,5,5,5,5,5,5,5,5,1,2
3,0,3,3,3,6,3,3,3,3,3,3,3,1,2
4,0,0,0,0,3,7,7,7,10,10,12,13,0,3
5,1,1,1,1,1,1,2,1,1,10,9,13,0,3
6,0,0,0,0,6,7,7,7,7,7,7,7,1,1
7,2,2,4,4,4,4,4,4,4,4,4,4,2,4
8,0,3,4,5,6,3,6,4,4,9,4,9,2,4
9,1,1,1,1,1,1,1,1,1,1,1,1,0,0
10,0,0,0,5,3,7,7,3,10,3,12,3,1,3
11,1,1,1,1,1,1,1,1,1,1,1,1,0,0
12,0,0,0,5,2,7,3,3,3,3,12,3,1,3
13,1,1,1,1,1,1,1,1,1,1,1,1,0,0
14,0,0,3,5,3,6,8,9,9,8,8,8,3,5
15,0,0,3,5,3,6,8,9,9,11,11,11,3,5
16,0,0,4,4,4,4,4,8,8,9,9,9,2,5
17,0,2,3,5,3,6,8,9,9,8,8,8,3,5
18,1,1,1,1,1,1,1,1,1,1,1,1,0,5
19,0,0,0,0,6,3,6,6,6,6,6,6,1,1
20,2,3,2,3,5,5,5,5,5,5,5,5,1,6
21,1,1,1,1,1,1,1,1,1,1,1,1,0,0
22,2,3,3,3,5,5,5,5,5,5,5,5,1,6
23,2,2,4,4,4,4,4,4,4,4,4,4,2,4
24,2,2,4,4,4,4,4,4,4,4,4,4,2,4
25,0,3,3,3,6,5,3,3,3,3,3,3,1,2
26,0,3,3,5,3,6,8,9,9,11,11,11,3,5
27,0,2,0,0,6,3,6,6,6,6,6,6,1,1
28,1,1,3,1,1,1,3,1,1,1,1,1,0,2
29,2,2,2,2,2,3,6,6,6,6,6,6,2,7
30,0,3,3,3,6,3,3,3,3,3,3,3,1,2
31,2,3,3,3,5,5,5,5,5,5,5,5,1,6
32,2,3,3,3,5,5,5,5,5,5,5,5,1,6
33,2,2,4,4,4,4,4,4,4,4,4,4,2,4
34,2,2,2,2,2,2,2,2,2,2,2,2,2,7
35,1,1,1,1,1,1,1,1,1,1,1,1,0,0
36,1,1,1,1,1,1,1,1,1,1,1,1,0,3
37,1,1,1,1,0,0,0,0,10,10,10,10,0,3
38,0,0,2,0,0,0,0,0,10,10,10,10,2,3
39,2,2,2,2,2,2,2,2,2,9,9,9,2,7
40,2,2,2,2,2,2,2,2,2,2,2,2,2,7
41,0,0,0,0,0,0,0,2,2,2,0,13,2,3
42,2,3,2,2,2,2,2,2,2,2,2,2,2,7
43,0,0,0,0,0,7,7,7,7,7,7,7,2,1
44,2,2,2,2,2,2,2,2,2,2,2,2,2,7
45,0,0,3,5,3,6,8,9,9,11,11,11,3,5
46,2,2,4,5,4,6,8,4,4,4,4,4,2,5
47,0,0,2,2,2,2,0,0,0,0,10,12,2,3
48,0,2,0,0,0,0,0,0,3,9,3,9,2,3
49,2,2,4,4,4,4,4,4,4,4,4,4,2,4
50,2,2,2,4,4,4,4,4,4,4,4,4,2,7
51,0,0,0,0,0,0,0,0,0,8,8,8,3,3
52,1,1,1,1,1,1,1,1,1,1,1,1,0,0
53,2,2,4,4,4,4,6,4,4,4,4,4,2,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.16594118242572553,0.16698668009125817,0.1807016680034201,0.19363706019243127,0.1843065031155819,0.1924552640422838,0.17057919543994482,0.18422462135251655,0.18219128768859233,0.1696065321842608,0.16968761988103473,0.1673199619660039,0.22191553784546048,0.17165091529125995
NMI,0.50407837745103934,0.49344670127099438,0.55309322561509444,0.60279358390820437,0.5955004204738451,0.61129121797582431,0.540664128443062,0.65533977623418771,0.63480661717829523,0.67964074916282025,0.61182094214563687,0.65992631457643502,1.0,0.50414249328528338
