,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,7,7,7,7,7,7,7
2,0,3,3,3,5,5,5,5,5,5,5,5
3,0,3,3,3,6,3,3,3,3,3,3,3
4,0,0,0,0,3,7,7,7,10,10,12,13
5,1,1,1,1,1,1,2,1,1,10,9,13
6,0,0,0,0,6,7,7,7,7,7,7,7
7,2,2,4,4,4,4,4,4,4,4,4,4
8,0,3,4,5,6,3,6,4,4,9,4,9
9,1,1,1,1,1,1,1,1,1,1,1,1
10,0,0,0,5,3,7,7,3,10,3,12,3
11,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0,0,5,2,7,3,3,3,3,12,3
13,1,1,1,1,1,1,1,1,1,1,1,1
14,0,0,3,5,3,6,8,9,9,8,8,8
15,0,0,3,5,3,6,8,9,9,11,11,11
16,0,0,4,4,4,4,4,8,8,9,9,9
17,0,2,3,5,3,6,8,9,9,8,8,8
18,1,1,1,1,1,1,1,1,1,1,1,1
19,0,0,0,0,6,3,6,6,6,6,6,6
20,2,3,2,3,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1,1,1
22,2,3,3,3,5,5,5,5,5,5,5,5
23,2,2,4,4,4,4,4,4,4,4,4,4
24,2,2,4,4,4,4,4,4,4,4,4,4
25,0,3,3,3,6,5,3,3,3,3,3,3
26,0,3,3,5,3,6,8,9,9,11,11,11
27,0,2,0,0,6,3,6,6,6,6,6,6
28,1,1,3,1,1,1,3,1,1,1,1,1
29,2,2,2,2,2,3,6,6,6,6,6,6
30,0,3,3,3,6,3,3,3,3,3,3,3
31,2,3,3,3,5,5,5,5,5,5,5,5
32,2,3,3,3,5,5,5,5,5,5,5,5
33,2,2,4,4,4,4,4,4,4,4,4,4
34,2,2,2,2,2,2,2,2,2,2,2,2
35,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,0,0,0,0,10,10,10,10
38,0,0,2,0,0,0,0,0,10,10,10,10
39,2,2,2,2,2,2,2,2,2,9,9,9
40,2,2,2,2,2,2,2,2,2,2,2,2
41,0,0,0,0,0,0,0,2,2,2,0,13
42,2,3,2,2,2,2,2,2,2,2,2,2
43,0,0,0,0,0,7,7,7,7,7,7,7
44,2,2,2,2,2,2,2,2,2,2,2,2
45,0,0,3,5,3,6,8,9,9,11,11,11
46,2,2,4,5,4,6,8,4,4,4,4,4
47,0,0,2,2,2,2,0,0,0,0,10,12
48,0,2,0,0,0,0,0,0,3,9,3,9
49,2,2,4,4,4,4,4,4,4,4,4,4
50,2,2,2,4,4,4,4,4,4,4,4,4
51,0,0,0,0,0,0,0,0,0,8,8,8
52,1,1,1,1,1,1,1,1,1,1,1,1
53,2,2,4,4,4,4,6,4,4,4,4,4
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
