,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,0,3,4,4,4,4,1,0
1,2,3,4,4,4,4,1,0
2,99,99,99,99,99,99,99,99
3,2,1,3,4,4,3,3,1
4,0,3,4,4,4,4,1,0
5,1,1,1,1,1,1,3,2
6,0,0,4,0,6,7,1,2
7,1,1,1,1,1,1,3,3
8,1,1,1,1,1,1,3,3
9,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,3,3
11,1,1,1,1,6,6,4,4
12,1,1,1,1,1,1,3,3
13,1,1,1,1,1,1,3,3
14,1,1,1,1,1,1,3,3
15,1,1,1,1,1,1,3,3
16,1,1,1,1,1,1,3,3
17,1,1,1,1,1,1,3,3
18,1,1,1,1,1,1,3,3
19,1,1,1,1,1,1,3,3
20,1,3,3,3,1,1,3,5
21,1,1,1,1,1,1,3,3
22,1,3,1,1,1,1,3,5
23,2,3,3,4,4,3,3,1
24,1,1,1,4,4,3,3,1
25,1,1,1,1,6,6,4,4
26,2,2,2,2,2,2,5,6
27,2,2,2,2,2,2,5,6
28,1,2,1,1,1,1,4,4
29,2,2,2,2,2,2,5,6
30,2,2,2,2,6,6,4,4
31,2,3,3,3,6,6,4,4
32,1,1,1,1,6,6,4,4
33,2,2,2,2,2,2,5,6
34,2,2,2,2,2,2,5,6
35,0,2,4,2,2,4,5,2
36,2,3,3,3,3,6,4,7
37,0,3,3,3,3,7,4,2
38,0,3,3,3,3,4,4,7
39,0,3,3,3,3,7,4,7
40,1,1,4,5,5,5,5,8
41,1,1,1,5,5,5,5,8
42,0,0,4,5,5,5,5,8
43,2,2,2,2,2,2,5,6
44,2,2,2,2,2,2,5,6
45,2,2,2,2,6,6,4,4
46,2,2,2,2,2,2,5,6
47,0,3,3,3,3,7,4,2
48,2,2,2,2,6,6,4,4
49,2,2,2,2,6,6,4,4
50,2,2,2,2,2,2,5,6
51,2,2,2,2,2,2,5,6
52,2,2,2,2,6,6,4,2
53,2,2,2,2,2,2,5,6
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.07603872726769673,0.09799475966296052,0.10185233157599471,0.11363819208322637,0.11270101473764677,0.10582310139838533,0.12731546119294418,0.09499925018980292
NMI,0.29810506406346149,0.41458546798995555,0.48284048361177501,0.55322898037026536,0.73237004443163312,0.71587133502373246,1.0,0.71041676092858175
