,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,0,3,4,4,4,4,7,7,7,7,7
1,0,0,0,0,0,0,8,8,10,11,11
2,1,1,1,4,1,1,7,7,7,7,7
3,1,3,3,3,3,3,3,3,3,3,3
4,0,1,4,4,4,4,7,7,7,7,7
5,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,0,0,8,8,10,11,11
7,1,1,1,5,5,3,4,5,5,5,5
8,0,0,0,5,5,7,4,5,5,5,5
9,1,3,1,1,1,1,1,1,3,3,3
10,1,1,1,1,1,5,5,9,9,9,9
11,0,3,3,5,5,5,5,9,9,9,9
12,1,1,1,1,1,1,1,1,1,1,1
13,1,3,3,3,3,3,3,3,3,3,3
14,1,3,3,5,5,7,8,8,8,8,8
15,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1
21,1,3,1,1,1,1,1,1,3,3,3
22,1,1,1,1,1,1,1,1,1,1,1
23,1,3,3,3,3,3,8,3,3,3,3
24,0,3,3,5,5,7,8,8,8,8,8
25,0,0,3,5,5,7,8,8,8,8,8
26,1,3,4,3,4,4,1,3,10,10,10
27,2,2,2,2,2,2,2,2,2,2,2
28,2,2,2,2,2,2,2,2,2,2,4
29,2,2,2,2,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2,2,2,2,4
31,2,2,2,2,2,2,2,2,2,2,4
32,2,2,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,2,6,4
34,2,2,2,2,2,2,2,2,2,2,4
35,2,1,4,4,4,4,7,7,7,7,7
36,0,0,0,0,6,6,6,6,6,6,6
37,0,0,0,0,6,6,6,6,6,6,6
38,0,0,0,0,0,0,0,0,0,0,2
39,0,0,3,0,6,5,6,9,9,9,9
40,2,2,4,4,4,4,3,4,4,4,12
41,0,0,0,0,4,3,3,4,4,4,12
42,0,0,0,4,4,3,3,4,4,4,12
43,0,3,4,4,4,4,4,5,10,10,10
44,2,2,2,2,2,2,2,6,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2
46,0,3,3,5,5,5,5,9,9,9,9
47,0,0,0,4,6,6,6,6,6,6,6
48,2,2,2,2,6,6,6,6,6,6,2
49,2,2,2,2,2,2,2,2,2,2,2
50,2,3,4,3,2,4,4,5,10,2,2
51,0,0,4,5,5,7,4,5,5,5,5
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,4,5,10,10,10
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
