,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,1,1,5,5,5,5,5,5,5,0,
1,0,0,2,2,2,7,7,9,9,9,0,
2,0,3,3,5,5,5,5,5,5,5,0,
3,1,2,3,3,3,3,1,1,1,1,2,
4,1,1,1,5,5,5,5,5,5,5,0,
5,1,1,1,1,1,1,1,1,8,8,0,
6,0,2,2,2,2,7,7,9,9,9,0,
7,1,1,1,1,1,1,1,8,8,8,0,
8,0,0,0,5,5,6,6,7,10,10,3,
9,1,1,1,1,1,1,1,1,1,1,0,
10,1,1,1,1,1,1,1,8,8,8,0,
11,0,0,0,0,6,7,7,6,7,7,3,
12,1,2,4,4,4,4,4,4,4,4,1,
13,1,2,3,3,3,3,3,8,8,8,2,
14,1,2,4,4,4,4,4,4,4,4,1,
15,2,2,4,4,4,4,4,4,4,4,1,
16,1,1,4,1,1,1,1,1,8,8,0,
17,1,2,4,4,4,4,4,4,4,4,1,
18,1,2,4,4,4,4,4,4,4,4,1,
19,2,2,4,4,4,4,4,4,4,4,1,
20,0,2,4,4,4,4,4,4,4,4,1,
21,1,2,1,1,2,7,7,9,9,9,0,
22,2,2,4,4,4,4,4,4,4,4,1,
23,1,3,3,3,3,3,8,8,8,8,2,
24,1,3,3,3,3,3,3,3,3,3,2,
25,1,1,3,3,3,3,1,1,1,1,2,
26,1,3,3,3,3,3,3,3,3,3,2,
27,2,1,2,2,1,1,1,1,1,1,0,
28,2,1,2,2,1,1,1,1,3,3,3,
29,2,1,2,2,1,2,2,2,2,2,3,
30,1,1,1,1,1,1,1,1,1,1,0,
31,0,0,0,0,0,7,7,5,7,7,3,
32,1,1,1,1,1,1,1,1,1,1,0,
33,1,1,1,1,1,1,1,1,1,1,0,
34,2,3,2,2,6,2,2,6,6,6,3,
35,2,1,1,5,2,5,5,5,5,5,0,
36,2,3,2,2,6,2,2,7,10,10,3,
37,1,2,0,5,5,6,6,7,10,11,3,
38,1,2,1,0,0,6,6,7,0,11,3,
39,2,3,2,2,6,2,2,2,2,2,3,
40,2,3,2,2,6,2,2,6,6,6,3,
41,0,3,2,2,6,2,2,6,6,6,3,
42,2,3,2,2,6,2,2,6,6,6,3,
43,2,3,3,3,3,3,3,3,3,3,2,
44,2,3,2,2,2,2,8,2,2,2,3,
45,2,3,3,3,3,3,3,3,3,3,2,
46,2,3,2,2,2,6,6,2,2,2,3,
47,2,2,2,5,5,6,6,7,10,10,3,
48,1,2,4,4,5,6,6,7,10,11,3,
49,2,1,2,2,2,2,2,2,2,2,3,
50,2,3,3,3,3,3,3,3,3,3,2,
51,2,2,2,2,2,5,5,2,2,2,3,
52,1,0,0,0,6,7,7,5,7,7,3,
53,2,3,2,2,2,7,7,2,2,2,3,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.06791786473311917,0.10476499098126929,0.11794545608336414,0.1214339613023998,0.11806965760778465,0.13674606840945278,0.13232732397247546,0.12180535633410883,0.12475672327326166,0.12206722208195707,0.16192440172921224,
NMI,0.1277137848384185,0.31741248892123991,0.6474548920177795,0.68063781925160793,0.64455455716638688,0.70241569099384449,0.61147937905869787,0.62019493532029446,0.63992586637505411,0.63621167985302973,1.0,
Silhoutte,0.03061688,0.05173695,0.08877291,0.10837319,0.11339158,0.14100536,0.15068136,0.15811589,0.19630348,0.20896083,0.09916883,
