,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,1,3,3,5,5,5,5,5,0,0
1,0,0,4,5,5,5,5,5,0,1
2,1,3,3,5,5,5,5,5,0,0
3,2,3,3,3,3,3,3,3,1,2
4,1,3,3,5,5,5,5,5,0,0
5,2,2,2,2,2,2,2,2,1,3
6,2,2,2,2,2,2,2,2,1,1
7,2,2,2,2,2,2,2,2,1,1
8,1,1,2,3,3,7,7,7,4,4
9,0,3,3,3,3,3,3,3,1,5
10,2,1,4,4,4,4,4,4,1,1
11,2,2,2,2,2,2,2,2,1,1
12,2,2,2,2,2,2,2,2,1,1
13,2,2,2,2,2,2,2,2,1,1
14,2,3,3,3,3,3,3,3,1,5
15,2,2,2,2,2,2,2,2,1,3
16,2,2,2,2,2,2,2,2,1,3
17,2,2,2,2,2,2,2,2,1,3
18,2,2,2,2,2,2,2,2,1,3
19,2,2,2,2,2,2,2,2,1,3
20,2,2,2,2,2,2,2,2,1,3
21,2,3,4,3,3,7,7,7,4,4
22,99,99,99,99,99,99,99,99,99,99
23,1,3,3,3,3,3,3,3,4,2
24,99,99,99,99,99,99,99,99,99,99
25,1,3,4,1,1,1,1,4,4,2
26,2,2,2,2,2,2,2,2,1,1
27,1,1,2,2,2,7,1,1,4,2
28,1,1,1,1,1,1,1,1,4,2
29,1,1,1,1,1,1,1,1,4,2
30,2,2,4,4,4,4,4,9,0,5
31,0,0,4,4,4,4,4,9,0,5
32,0,3,4,4,4,4,4,4,0,5
33,2,2,2,4,4,4,4,9,0,6
34,2,2,4,4,4,4,4,9,0,6
35,0,3,3,5,5,5,5,5,0,0
36,1,1,4,3,3,7,7,7,4,4
37,2,2,4,3,3,3,8,8,4,7
38,1,1,1,1,1,3,8,8,4,7
39,1,1,1,1,1,1,1,1,4,2
40,1,1,1,1,1,1,1,1,4,2
41,1,1,0,1,1,1,6,6,4,7
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,4,2
44,1,1,1,1,1,1,1,1,4,2
45,1,1,1,1,1,1,1,1,4,2
46,1,1,1,1,1,1,1,1,4,2
47,2,3,4,3,3,3,8,8,4,7
48,1,1,1,1,1,1,1,1,4,2
49,1,1,1,4,4,4,4,4,0,6
50,0,0,0,0,6,6,6,6,4,7
51,1,1,1,1,1,1,1,1,4,2
52,1,1,1,1,6,6,6,1,4,2
53,1,1,1,1,1,1,1,1,4,2
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.09006575756596302,0.09157809368828329,0.10078083490582176,0.11782717307525008,0.11533052071603243,0.1140134239792647,0.1142452867792546,0.11309353645151773,0.13905021169258722,0.0910675156628383
NMI,0.40573587272025241,0.33773192911468947,0.35529674711768217,0.62876625172916001,0.62012448278304622,0.65787206373263318,0.67528785077258913,0.64285403128166496,1.0,0.60309994497581876
