,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,0,4,5,5,5,5,5,5,5,2,0
1,0,0,0,4,4,4,4,9,9,9,0,1
2,0,3,3,3,3,3,3,3,3,8,2,2
3,2,3,3,3,3,3,8,8,8,8,2,2
4,0,0,4,5,5,5,5,5,5,5,2,0
5,2,2,2,2,2,2,2,2,2,2,1,3
6,0,0,4,4,4,4,4,9,9,9,0,1
7,0,3,4,4,4,4,4,9,9,9,0,1
8,0,0,1,4,4,4,4,4,10,10,4,4
9,0,3,3,3,3,3,8,8,8,8,2,2
10,2,2,4,2,2,2,2,2,2,2,1,3
11,2,2,2,2,2,2,2,2,2,2,1,3
12,2,2,4,2,2,2,2,2,2,2,1,3
13,2,2,3,3,3,3,8,8,8,8,2,2
14,0,0,1,1,4,7,7,7,7,7,3,5
15,2,2,2,2,2,2,2,4,4,4,1,5
16,2,2,2,2,2,2,2,1,1,2,1,3
17,2,2,2,2,2,2,2,4,2,2,1,3
18,2,2,2,2,2,2,2,4,4,4,1,5
19,2,2,2,2,2,2,2,2,2,2,1,5
20,2,2,2,2,2,2,2,4,4,2,1,3
21,2,2,2,2,2,2,2,2,2,2,1,3
22,2,2,2,2,2,2,2,4,4,2,1,3
23,0,3,3,3,3,3,8,8,8,8,2,2
24,2,2,4,4,4,7,7,7,7,7,3,5
25,0,0,0,0,4,7,7,7,7,7,3,5
26,0,3,3,5,3,5,3,4,4,4,1,5
27,2,2,1,2,2,2,2,2,2,2,1,3
28,2,2,1,1,1,1,1,2,2,2,1,3
29,1,1,1,1,1,1,1,1,1,1,4,6
30,0,3,3,3,3,3,8,8,8,8,2,2
31,1,3,3,3,3,4,3,3,3,3,3,7
32,0,3,3,3,3,7,3,3,3,3,3,7
33,1,3,4,4,6,6,3,3,3,3,3,7
34,1,1,1,1,1,1,1,1,1,1,4,4
35,0,0,4,5,5,5,5,5,5,5,2,0
36,1,1,1,1,1,1,1,1,10,10,4,4
37,0,3,3,0,3,6,6,9,9,11,4,4
38,1,1,1,1,1,1,1,1,1,1,4,4
39,1,1,1,1,1,1,1,1,1,1,4,6
40,1,1,4,4,6,6,6,6,6,6,3,8
41,2,2,4,0,6,6,6,6,6,6,3,8
42,2,2,4,4,6,6,6,6,6,6,3,8
43,1,1,4,4,6,6,6,6,6,6,3,8
44,1,1,1,1,6,6,6,1,1,1,4,8
45,1,1,1,1,1,1,1,1,1,1,4,4
46,1,1,1,1,1,1,1,1,1,1,4,6
47,0,3,3,0,6,6,6,9,9,11,4,4
48,1,1,1,1,1,1,1,1,1,1,4,6
49,1,1,1,1,1,1,1,1,1,1,4,6
50,1,3,3,1,3,1,3,3,3,3,3,7
51,1,1,1,1,1,1,1,1,1,1,4,6
52,1,1,1,1,1,1,1,1,1,1,4,3
53,1,1,1,1,1,1,1,1,1,1,4,6
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.12343656442511663,0.12655396091535298,0.11390370821066279,0.13327031247004395,0.1486949756267723,0.14137696833277164,0.15118157830466716,0.13803313937040365,0.138821216249045,0.1400217701854947,0.1662699875046892,0.12455681748840047
NMI,0.45280187383725384,0.44769516185259722,0.4836538683194116,0.62474010015164116,0.62517699989052433,0.68891215931337468,0.71009747375212617,0.72095676981791612,0.73676919060736989,0.82849407725135904,1.0,0.73186014209010519
