,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,3,4,4,4,4,7,7,7,7,7,0,0
1,0,0,0,0,0,0,8,8,10,11,11,3,1
2,1,1,1,4,1,1,7,7,7,7,7,0,2
3,1,3,3,3,3,3,3,3,3,3,3,1,3
4,0,1,4,4,4,4,7,7,7,7,7,0,0
5,1,1,1,1,1,1,1,1,1,1,1,0,2
6,0,0,0,0,0,0,8,8,10,11,11,3,1
7,1,1,1,5,5,3,4,5,5,5,5,0,2
8,0,0,0,5,5,7,4,5,5,5,5,3,1
9,1,3,1,1,1,1,1,1,3,3,3,1,3
10,1,1,1,1,1,5,5,9,9,9,9,0,0
11,0,3,3,5,5,5,5,9,9,9,9,3,0
12,1,1,1,1,1,1,1,1,1,1,1,0,2
13,1,3,3,3,3,3,3,3,3,3,3,1,3
14,1,3,3,5,5,7,8,8,8,8,8,1,3
15,1,1,1,1,1,1,1,1,1,1,1,0,2
16,1,1,1,1,1,1,1,1,1,1,1,0,2
17,1,1,1,1,1,1,1,1,1,1,1,0,2
18,1,1,1,1,1,1,1,1,1,1,1,0,2
19,1,1,1,1,1,1,1,1,1,1,1,0,2
20,1,1,1,1,1,1,1,1,1,1,1,0,2
21,1,3,1,1,1,1,1,1,3,3,3,1,3
22,1,1,1,1,1,1,1,1,1,1,1,0,2
23,1,3,3,3,3,3,8,3,3,3,3,1,3
24,0,3,3,5,5,7,8,8,8,8,8,1,3
25,0,0,3,5,5,7,8,8,8,8,8,1,3
26,1,3,4,3,4,4,1,3,10,10,10,1,3
27,2,2,2,2,2,2,2,2,2,2,2,2,4
28,2,2,2,2,2,2,2,2,2,2,4,2,4
29,2,2,2,2,2,2,2,2,2,2,2,2,4
30,2,2,2,2,2,2,2,2,2,2,4,2,4
31,2,2,2,2,2,2,2,2,2,2,4,2,4
32,2,2,2,2,2,2,2,2,2,2,2,2,4
33,2,2,2,2,2,2,2,2,2,6,4,2,4
34,2,2,2,2,2,2,2,2,2,2,4,2,4
35,2,1,4,4,4,4,7,7,7,7,7,0,0
36,0,0,0,0,6,6,6,6,6,6,6,2,1
37,0,0,0,0,6,6,6,6,6,6,6,2,1
38,0,0,0,0,0,0,0,0,0,0,2,2,1
39,0,0,3,0,6,5,6,9,9,9,9,2,1
40,2,2,4,4,4,4,3,4,4,4,12,2,1
41,0,0,0,0,4,3,3,4,4,4,12,2,1
42,0,0,0,4,4,3,3,4,4,4,12,2,1
43,0,3,4,4,4,4,4,5,10,10,10,1,3
44,2,2,2,2,2,2,2,6,2,2,2,2,4
45,2,2,2,2,2,2,2,2,2,2,2,2,4
46,0,3,3,5,5,5,5,9,9,9,9,3,0
47,0,0,0,4,6,6,6,6,6,6,6,2,1
48,2,2,2,2,6,6,6,6,6,6,2,2,4
49,2,2,2,2,2,2,2,2,2,2,2,2,4
50,2,3,4,3,2,4,4,5,10,2,2,2,4
51,0,0,4,5,5,7,4,5,5,5,5,3,1
52,0,0,0,0,0,0,0,0,0,0,0,3,1
53,0,0,0,0,0,0,4,5,10,10,10,3,1
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.20825628120835338,0.18833153815726186,0.1888480832345686,0.1778308321478681,0.18912678274100972,0.17879635942349645,0.19985275114889733,0.18905789950648674,0.1904069250411014,0.18048283283191482,0.1754069684191933,0.24123826396433298,0.2100571171380016
NMI,0.46372863403550402,0.63617893934278935,0.50733641780006555,0.5056016362798339,0.55409750164894189,0.48130054053602589,0.52225493588306238,0.54162431596086891,0.61738780170412388,0.65248832621150954,0.65504442266807439,1.0,0.74332212787443119
