,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,1,1,4,5,4,4,4,0,0
1,1,1,1,1,1,1,1,0,1
2,1,1,1,1,1,1,1,0,1
3,1,2,2,2,2,2,2,1,2
4,1,1,4,1,4,4,4,0,0
5,1,1,1,1,1,1,1,0,3
6,1,1,1,1,1,1,1,0,1
7,1,1,1,1,1,1,1,0,1
8,1,1,1,1,1,1,1,0,1
9,1,1,1,1,1,1,1,0,1
10,1,1,1,1,1,1,1,0,3
11,2,2,2,2,2,2,2,2,2
12,1,1,1,1,1,1,1,0,3
13,1,1,1,1,1,1,1,0,1
14,1,1,1,4,1,7,7,0,1
15,1,1,1,1,1,1,1,0,1
16,1,1,1,1,1,1,1,0,3
17,1,1,1,1,1,1,1,0,3
18,1,1,1,1,1,1,1,0,3
19,1,1,1,1,1,1,1,0,3
20,1,1,1,1,1,1,1,0,1
21,1,1,1,1,1,1,1,0,3
22,1,1,1,1,1,1,1,0,1
23,2,2,2,2,2,2,2,2,4
24,2,2,4,4,4,7,7,0,5
25,0,0,4,4,4,7,7,0,5
26,0,0,4,5,6,6,6,0,6
27,2,2,2,2,2,2,2,2,2
28,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2,4
30,0,3,3,3,3,3,3,1,7
31,0,3,3,3,3,3,3,1,7
32,0,3,3,3,3,3,3,1,7
33,0,3,3,3,3,3,3,1,7
34,2,3,3,3,3,3,2,2,4
35,1,1,4,4,4,4,4,0,0
36,2,2,2,2,2,2,2,2,4
37,0,0,0,0,6,6,8,2,6
38,2,2,2,2,2,2,2,2,6
39,2,2,2,2,2,2,2,2,6
40,2,2,2,5,5,5,5,2,8
41,2,2,2,5,5,5,5,2,8
42,2,2,2,5,5,5,5,2,8
43,2,2,2,5,6,6,6,2,6
44,2,2,2,2,2,2,2,2,4
45,2,2,2,2,2,2,2,2,6
46,2,2,2,2,2,2,2,2,4
47,2,2,2,2,2,2,2,2,4
48,2,2,2,2,2,2,2,2,4
49,2,2,2,2,2,2,2,2,4
50,2,2,2,2,2,2,2,2,4
51,2,2,2,2,2,2,2,2,6
52,0,0,0,0,0,0,8,2,6
53,2,2,2,2,2,2,2,2,4
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.14204930072183913,0.14408349155049363,0.1413934073255477,0.12025236934468861,0.12499268975654584,0.12205581000645765,0.1241335223517055,0.15827704122181352,0.06637840479876035
NMI,0.64844501561003343,0.66494890591153422,0.73329672274185498,0.62870281205034961,0.64646820569480201,0.62690034590717481,0.67421765227696906,1.0,0.60691615331331394
