,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,LPA
0,2,2,2,5,0,0
1,2,2,2,5,0,0
2,1,1,1,1,0,1
3,2,3,3,3,2,1
4,1,1,1,1,0,2
5,1,1,1,1,0,2
6,1,1,1,1,0,2
7,1,1,1,1,0,2
8,1,1,1,1,0,2
9,1,1,1,1,0,2
10,1,1,1,1,0,2
11,1,1,1,1,0,2
12,1,1,1,1,0,2
13,1,1,1,1,0,2
14,1,1,1,1,0,2
15,1,1,1,1,0,2
16,1,1,1,1,0,2
17,1,1,1,1,0,2
18,1,1,1,1,0,2
19,1,1,1,1,0,2
20,1,1,1,1,0,2
21,1,1,1,1,0,2
22,1,1,1,1,0,2
23,1,1,1,1,0,1
24,2,3,3,3,2,3
25,2,3,3,3,2,1
26,0,2,4,4,0,4
27,2,2,2,2,1,5
28,2,2,2,2,1,5
29,2,2,2,2,1,5
30,1,3,3,3,2,6
31,2,2,2,2,1,7
32,2,2,2,2,1,7
33,2,2,2,2,1,5
34,2,2,2,2,1,7
35,2,2,2,4,2,1
36,2,2,2,2,1,5
37,1,3,3,3,2,4
38,2,2,2,2,1,5
39,2,2,2,2,1,5
40,2,2,2,2,1,6
41,2,2,2,2,1,5
42,2,2,2,2,1,4
43,1,1,4,4,2,4
44,2,2,2,2,1,5
45,2,2,2,2,1,5
46,1,2,2,2,1,6
47,2,2,2,2,1,5
48,2,2,2,2,1,5
49,1,3,3,3,2,3
50,0,0,4,4,1,4
51,1,3,3,3,2,3
52,1,1,1,1,0,1
53,1,1,4,5,2,4
54,99,99,99,99,99,99
55,99,99,99,99,99,99
Modularity,0.18504893531500066,0.2553540763734434,0.2658254295799739,0.2798163289512445,0.2937534254168191,0.20066914616029652
NMI,0.37494077336213028,0.64161036971007401,0.68818335349087301,0.78108844449075843,1.0,0.59524423954697281
