,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,3,3,3,3,7,7,7,7,7,7,13,0,0
1,1,1,1,4,6,6,6,6,6,6,6,6,2,1
2,1,1,1,1,1,1,1,1,1,1,1,1,2,2
3,1,1,1,1,1,1,1,1,1,1,1,1,2,2
4,0,3,3,3,6,7,7,7,7,7,7,13,0,0
5,0,0,4,4,6,6,6,6,6,6,6,6,1,3
6,2,3,4,4,6,6,6,6,6,6,6,6,1,1
7,0,0,4,2,2,2,8,8,8,11,11,11,1,3
8,0,3,4,2,2,2,8,8,8,11,11,11,1,3
9,1,1,1,1,1,1,1,1,1,1,1,1,2,2
10,1,1,1,1,1,1,1,1,1,1,1,1,2,2
11,0,0,4,0,0,0,0,9,10,10,10,10,1,3
12,0,3,4,4,6,6,6,6,6,6,6,6,1,1
13,1,1,1,1,1,1,1,1,10,10,12,12,2,3
14,2,3,3,3,3,3,3,3,3,3,3,3,1,4
15,2,3,3,3,3,3,3,3,3,3,3,3,1,4
16,1,1,4,4,4,4,4,4,4,4,4,4,3,5
17,1,3,3,3,3,3,3,3,3,3,3,3,1,4
18,2,3,3,3,3,3,3,3,3,3,3,3,1,4
19,2,3,0,0,0,7,0,8,9,9,12,7,1,3
20,2,3,3,3,3,3,3,3,3,3,3,3,1,4
21,2,3,3,3,3,3,3,3,3,3,3,3,1,4
22,2,3,3,3,3,3,3,3,3,3,3,3,1,4
23,1,1,1,1,1,1,1,1,1,1,1,1,2,2
24,0,0,0,0,0,0,0,0,0,0,12,12,0,3
25,0,0,0,4,6,0,8,8,9,8,8,8,3,3
26,2,3,3,3,3,3,3,3,3,3,3,3,1,4
27,0,0,0,0,0,7,4,8,9,9,12,7,1,3
28,2,2,2,5,5,5,5,5,5,5,2,2,3,6
29,2,2,2,5,2,2,2,2,5,5,2,2,3,6
30,1,1,1,1,1,1,1,1,1,1,1,1,2,2
31,1,1,1,1,1,1,1,1,1,1,1,1,2,2
32,1,1,1,1,1,1,1,1,1,1,1,1,2,2
33,1,1,1,1,1,1,1,1,1,1,1,1,2,2
34,1,1,1,1,1,1,1,1,1,1,2,2,2,2
35,0,3,3,3,6,7,7,7,7,7,7,13,0,0
36,2,2,2,2,2,2,2,2,8,11,11,11,3,3
37,2,2,2,2,2,2,2,9,2,2,9,9,3,7
38,2,2,2,2,2,2,2,2,4,0,2,2,3,3
39,2,2,2,4,4,4,4,4,4,4,4,4,3,5
40,2,3,4,5,5,5,5,5,5,5,5,5,3,8
41,0,0,0,5,5,5,5,5,5,5,5,5,3,3
42,2,3,4,5,5,5,5,5,5,5,5,5,3,8
43,2,3,4,5,5,5,5,5,5,5,5,5,3,8
44,2,2,2,2,2,2,2,2,2,2,2,2,3,6
45,1,2,4,4,4,4,4,4,4,4,4,4,3,5
46,1,2,2,4,4,4,4,4,4,4,4,4,3,5
47,2,2,2,2,2,2,2,2,2,2,9,9,3,7
48,2,2,2,2,2,2,2,2,2,2,2,2,3,6
49,2,2,2,2,2,2,2,2,2,2,9,9,3,6
50,2,0,4,5,6,5,8,8,5,8,8,8,3,3
51,2,2,2,4,2,2,8,8,9,8,8,8,3,3
52,0,0,0,2,2,2,8,9,10,10,10,10,1,3
53,2,2,2,2,2,2,2,2,2,2,2,2,3,6
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.14903304534127096,0.22333533645983994,0.22052675905574373,0.22303391019304883,0.22505056839109325,0.2408542086193377,0.228653847167882,0.22758336103811222,0.22891555886933834,0.22787731869525316,0.22048749420525077,0.22067551489536363,0.28781164353214916,0.21923562430141702
NMI,0.44211240441153477,0.57197909265112057,0.61884297971939373,0.54811067972650629,0.54511977952049506,0.6132428128112607,0.65009342928550673,0.66345602516235347,0.64822706000943053,0.65066209649885043,0.60710174776529258,0.63000691098170836,1.0,0.58237451455099853
