,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,2,3,3,3,3,7,3,3,3,3
1,0,0,4,4,6,6,6,6,6,6
2,0,3,3,3,3,7,3,3,3,3
3,1,1,4,4,4,7,7,7,7,7
4,2,3,3,3,3,3,3,3,3,3
5,0,0,0,0,0,0,0,0,6,10
6,0,0,0,0,6,0,6,0,10,10
7,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1
9,99,99,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,1,1,1,3
11,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,7,1,1,1,1
13,2,2,2,2,6,6,2,5,6,10
14,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,4,4,4,4,4
21,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2
23,0,0,0,3,3,6,8,9,9,9
24,1,3,1,1,1,7,7,7,7,7
25,1,1,1,1,1,1,1,1,1,1
26,2,2,4,4,6,6,6,6,6,6
27,1,1,1,1,1,1,1,1,1,1
28,1,3,3,3,6,3,3,6,10,11
29,1,1,1,3,1,1,1,1,10,11
30,0,3,3,3,4,3,3,6,10,11
31,0,0,4,4,4,4,4,4,4,4
32,0,0,0,3,4,3,3,8,10,11
33,0,0,4,4,4,4,4,4,4,4
34,1,1,1,1,1,1,1,1,1,1
35,2,3,3,3,3,3,3,3,3,3
36,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,7,7,1,1,1
38,0,3,3,3,2,0,8,8,8,8
39,0,0,0,0,0,0,8,8,8,8
40,0,3,3,5,5,5,5,5,5,5
41,1,1,1,1,1,1,1,1,1,1
42,0,3,3,5,5,5,5,5,5,5
43,1,3,3,5,6,6,6,6,10,6
44,1,1,1,5,5,5,5,5,5,5
45,1,1,1,5,5,5,5,5,5,5
46,0,0,4,4,4,7,7,7,7,7
47,0,3,2,3,3,4,8,9,9,9
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1
50,0,0,0,0,6,6,6,6,10,6
51,1,1,1,1,1,1,1,1,1,1
52,0,3,0,3,3,4,4,4,4,4
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
