,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,2,2,2,5,6,6,6,6,6,6,0,
1,0,0,0,0,0,7,8,8,7,7,0,
2,2,3,3,3,6,6,6,6,6,6,0,
3,0,3,3,3,3,3,3,3,3,3,1,
4,2,2,2,5,6,6,6,6,6,6,0,
5,0,0,4,4,4,4,4,4,4,4,3,
6,0,0,0,0,0,7,8,8,7,7,0,
7,0,0,4,4,4,4,7,9,9,11,3,
8,0,3,4,4,4,4,7,9,9,11,3,
9,0,3,3,3,3,3,3,3,3,3,1,
10,0,0,4,4,4,3,4,4,4,4,3,
11,1,1,4,4,4,4,4,4,4,4,3,
12,0,0,4,4,4,4,4,4,4,4,3,
13,1,1,3,3,3,3,3,3,3,3,1,
14,2,2,2,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,2,1,
19,0,0,0,0,0,0,0,3,9,9,1,
20,2,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,4,2,2,2,2,2,2,1,
22,99,99,99,99,99,99,99,99,99,99,99,
23,1,3,3,3,3,3,3,3,3,3,7,
24,1,1,1,1,1,1,1,1,1,1,7,
25,1,1,1,1,1,1,1,1,1,1,7,
26,2,2,2,2,2,2,2,2,2,2,1,
27,2,2,2,2,2,2,2,3,3,9,1,
28,1,1,1,1,5,5,5,5,5,5,7,
29,1,1,1,1,5,5,5,5,5,5,7,
30,1,3,3,3,3,5,3,5,10,10,7,
31,0,0,0,0,0,0,0,0,3,0,1,
32,0,3,3,3,3,7,3,7,10,10,7,
33,1,1,1,1,1,1,1,1,1,1,7,
34,1,1,1,1,1,1,1,1,10,10,7,
35,2,2,2,2,6,6,6,6,6,6,0,
36,0,3,4,4,4,4,7,9,9,11,3,
37,0,0,0,3,4,0,8,7,8,8,0,
38,1,1,1,1,1,1,1,1,1,1,7,
39,1,1,1,1,1,1,1,1,1,1,7,
40,1,1,1,5,5,5,5,5,5,5,7,
41,1,1,1,1,1,1,1,1,1,1,7,
42,99,99,99,99,99,99,99,99,99,99,99,
43,1,1,1,5,5,5,5,5,5,5,7,
44,99,99,99,99,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,99,99,99,99,
46,1,1,1,1,1,1,1,1,1,1,7,
47,0,0,0,0,0,0,8,7,8,8,0,
48,1,1,1,1,1,1,1,1,1,1,7,
49,1,1,1,5,5,5,5,5,5,5,7,
50,1,1,1,1,1,1,1,1,1,1,7,
51,1,1,1,1,1,1,1,1,1,1,7,
52,1,1,1,1,1,1,1,1,1,1,7,
53,1,1,1,1,1,1,1,1,1,1,7,
54,1,3,3,5,5,5,5,5,5,5,7,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.16436048467271863,0.15277076532043354,0.1739294639232944,0.15162771416959941,0.16772439083460347,0.16877672784020056,0.16871354756071988,0.16059513055947525,0.15456938157444255,0.15752620674656237,0.1924211608668644,
NMI,0.50864058705279824,0.43028783460201608,0.65923792033739903,0.57121885162069863,0.69294552197486925,0.68940213946820117,0.7399533589408076,0.72577502213755263,0.71258713380471428,0.7247528727681225,1.0,
Silhoutte,0.1577358,0.13846249,0.17073283,0.16073103,0.20962359,0.22645347,0.2388774,0.25618444,0.26711841,0.31161213,0.18204739,
