,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,3,3,3,5,7,8,8,8,8,1,0
1,0,0,0,5,5,5,7,5,5,5,1,1
2,2,2,2,2,2,2,8,8,8,8,1,2
3,2,2,4,4,4,4,4,4,4,4,1,2
4,0,3,3,3,3,7,8,8,8,8,1,0
5,0,0,0,0,0,0,0,0,7,7,1,3
6,0,1,1,5,5,5,7,5,5,5,1,1
7,0,0,0,5,5,7,5,5,9,10,1,4
8,0,0,0,0,5,7,5,9,9,10,2,4
9,2,2,2,2,2,2,2,2,2,2,1,2
10,2,2,2,2,2,5,7,7,7,7,1,1
11,2,2,2,2,6,6,6,7,7,7,1,3
12,1,1,1,5,5,5,7,7,7,7,1,1
13,2,2,4,4,4,4,4,9,10,9,1,3
14,1,3,3,3,3,3,3,3,3,3,0,5
15,1,3,3,3,3,3,3,3,3,3,0,5
16,2,3,3,3,3,3,3,3,3,3,0,3
17,1,3,3,3,3,3,3,3,3,3,0,5
18,1,3,3,3,3,3,3,3,3,3,0,5
19,0,3,3,3,3,3,3,3,3,3,0,5
20,2,3,3,3,3,3,3,3,3,3,0,5
21,0,0,0,0,5,5,7,5,5,5,0,1
22,0,3,3,3,3,3,3,3,3,3,0,5
23,2,2,4,4,4,4,4,4,4,4,1,3
24,2,2,4,4,4,4,4,4,4,4,1,3
25,0,0,4,4,4,4,4,4,4,4,1,3
26,0,0,0,0,0,1,1,9,10,9,2,3
27,1,1,1,1,1,1,1,1,1,1,2,6
28,1,1,2,2,2,2,2,2,2,2,1,6
29,1,1,1,1,1,1,1,1,1,1,2,7
30,2,2,2,2,2,2,2,2,2,2,1,2
31,2,2,2,2,2,2,2,2,2,2,1,2
32,2,2,2,2,2,2,2,2,2,2,1,2
33,2,2,2,2,2,2,2,2,2,2,1,2
34,2,2,4,4,4,4,4,4,4,2,1,2
35,0,3,3,3,5,7,8,8,8,8,1,0
36,1,1,1,1,1,7,5,9,9,10,2,4
37,1,1,1,1,1,1,1,1,1,1,2,7
38,1,1,1,1,1,1,1,1,1,1,2,6
39,1,1,1,1,1,1,1,1,1,1,2,7
40,1,2,4,5,6,6,6,6,6,6,2,8
41,2,2,4,5,6,6,6,6,6,6,2,8
42,1,1,1,1,6,6,6,6,6,6,2,8
43,1,1,1,1,1,1,1,1,1,1,2,7
44,1,1,1,1,1,1,1,1,1,1,2,7
45,1,1,1,1,1,1,1,1,1,1,2,7
46,1,1,1,1,1,1,1,1,1,1,2,7
47,1,0,0,0,4,7,4,9,10,11,2,3
48,1,1,1,1,1,1,1,1,1,1,2,7
49,1,1,1,1,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,1,1,1,1,2,7
51,1,1,1,1,1,1,1,1,1,1,2,7
52,1,1,1,1,1,1,1,1,1,1,2,3
53,1,1,1,1,1,1,1,1,1,1,2,7
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.08490798486074216,0.1060738576473324,0.10901778269190762,0.12999899830653586,0.12621539180126823,0.1357711292117376,0.1344656223552057,0.13088131213124343,0.13216215444990492,0.1317917655639483,0.17362079855926457,0.11325508643346742
NMI,0.28844069592645771,0.42633973047049389,0.45867392420548575,0.56807445879410823,0.5435926982538688,0.60859390871658048,0.5949216612256959,0.63914179152532269,0.62285958489093718,0.62523467370798791,1.0,0.5050553985596038
