,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,1,1,1,1,1,1,1,1,1,1,0,
1,0,0,2,2,2,7,7,7,7,7,0,
2,1,1,1,1,1,1,1,1,1,1,0,
3,1,1,4,5,5,5,5,5,5,5,0,
4,0,0,1,1,1,1,1,1,1,1,0,
5,1,1,1,1,1,1,1,1,1,11,0,
6,0,0,2,2,2,7,7,7,7,7,0,
7,0,0,0,5,5,5,8,8,8,8,0,
8,0,0,0,0,0,0,8,8,8,8,2,
9,0,3,3,3,3,3,3,3,3,11,1,
10,1,1,1,5,5,5,8,8,8,11,0,
11,1,1,1,1,1,1,1,1,1,11,0,
12,1,1,1,5,5,5,8,8,8,11,0,
13,1,1,1,5,5,5,5,5,5,5,0,
14,1,2,4,4,4,4,4,4,4,4,0,
15,1,2,4,4,4,4,4,4,4,4,0,
16,1,1,1,4,4,4,4,4,4,4,0,
17,1,1,4,4,4,4,4,4,4,4,0,
18,1,1,4,4,4,4,4,4,4,4,0,
19,0,0,4,4,4,4,4,9,9,9,0,
20,1,1,4,4,4,4,4,4,4,4,0,
21,1,1,4,4,4,7,7,7,7,7,0,
22,1,1,4,4,4,4,4,4,4,4,0,
23,1,1,1,5,5,5,5,5,5,5,0,
24,1,1,1,5,5,5,5,5,5,5,0,
25,2,2,1,5,5,5,5,5,5,5,0,
26,1,1,1,5,1,4,7,5,7,7,0,
27,2,2,2,2,2,2,2,9,9,9,2,
28,0,3,3,3,3,3,3,3,3,3,1,
29,2,2,2,2,2,2,2,9,9,9,2,
30,2,3,3,3,3,3,3,3,3,3,1,
31,2,3,3,3,3,3,3,3,3,3,1,
32,2,3,3,3,3,3,3,3,3,3,1,
33,2,3,3,3,3,3,3,3,3,3,1,
34,1,3,3,3,3,3,3,3,3,3,1,
35,2,2,1,1,1,1,1,1,1,1,0,
36,2,2,2,2,2,2,2,2,2,8,2,
37,1,1,0,5,5,5,7,7,10,10,2,
38,2,2,2,5,2,2,2,9,10,10,2,
39,2,2,2,2,2,2,2,2,2,2,2,
40,2,2,2,2,6,6,6,6,6,6,2,
41,0,1,1,1,6,6,6,6,6,6,2,
42,2,2,2,2,6,6,6,6,6,6,2,
43,2,2,2,2,2,2,2,6,6,6,2,
44,2,2,2,2,2,2,2,6,6,6,2,
45,2,2,2,2,2,2,2,6,6,6,2,
46,2,2,2,2,2,2,2,2,2,2,2,
47,1,1,0,5,5,5,7,7,10,10,2,
48,2,2,2,2,2,2,2,2,6,6,2,
49,2,2,2,2,2,2,2,2,6,6,2,
50,2,2,2,2,2,2,2,2,6,6,2,
51,0,0,0,0,0,0,8,8,2,2,2,
52,2,2,1,1,1,1,1,1,1,1,0,
53,2,2,2,2,2,2,2,2,6,6,2,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.09856013130561697,0.13415753076033096,0.16666961968070418,0.1532575258963521,0.1556739189175702,0.16099534566589832,0.16111677971044658,0.1450591501080184,0.15648109292441498,0.15006480921490048,0.2058652144874994,
NMI,0.244901783333932,0.48230516427545606,0.61687221540801718,0.53822345539046468,0.58611309328623662,0.64547728269443427,0.60456574446223221,0.55628723896339505,0.61101653255943311,0.57236313571191788,1.0,
Silhoutte,0.04161388,0.11673433,0.1464127,0.1218592,0.14398546,0.17643542,0.18315323,0.16810182,0.20835336,0.22257423,0.14245723,
