,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,1,4,4,4,0,0
1,0,3,3,1,6,0,1
2,1,1,4,4,4,0,0
3,2,2,2,2,2,1,2
4,1,1,4,4,4,0,0
5,2,2,2,2,2,0,1
6,2,2,2,2,6,1,1
7,2,2,2,2,2,1,2
8,1,1,1,1,1,3,3
9,2,2,4,4,4,1,0
10,2,2,2,2,2,1,2
11,1,1,1,1,1,3,4
12,2,2,2,2,2,1,1
13,2,2,2,2,2,1,2
14,2,2,2,2,2,1,1
15,2,2,2,2,2,1,1
16,2,2,2,2,2,1,2
17,2,2,2,2,2,1,2
18,2,2,2,2,2,1,2
19,2,2,2,2,2,1,1
20,2,2,2,2,2,1,2
21,2,2,2,2,2,1,1
22,2,2,2,2,2,1,2
23,2,2,2,2,2,1,2
24,2,1,1,1,1,1,2
25,1,1,1,1,1,3,4
26,2,3,3,3,3,2,1
27,1,1,1,1,1,2,4
28,1,3,3,3,3,2,3
29,1,3,3,3,3,2,3
30,0,3,3,3,3,2,1
31,1,3,3,3,3,2,3
32,1,1,1,1,1,2,3
33,1,1,1,1,1,3,4
34,1,1,1,1,1,2,4
35,0,3,4,5,5,0,1
36,1,1,1,5,5,3,5
37,1,1,1,5,5,3,5
38,1,1,1,1,1,2,4
39,1,1,1,1,1,3,4
40,1,1,1,1,1,2,3
41,1,1,1,1,1,2,3
42,1,1,1,1,1,2,3
43,1,1,1,1,1,2,4
44,1,1,1,1,1,3,4
45,1,1,1,1,1,3,4
46,1,1,1,1,1,3,4
47,1,1,1,1,1,3,4
48,1,1,1,1,1,3,4
49,1,1,1,1,1,3,4
50,1,3,3,3,3,2,3
51,1,3,3,3,3,2,3
52,1,3,3,3,3,2,1
53,1,1,1,1,1,3,4
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.059383991105571576,0.056760891097319965,0.061191866434221615,0.05920636077277328,0.05721774295588406,0.06804396954301181,0.03957427818274124
NMI,0.56478069298361044,0.5495867701558349,0.62557556080866417,0.57643748262935957,0.58892966933798596,1.0,0.56152096107488181
