,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,0,0,5,5,5,5,5,5,5,5,0,
1,0,0,0,0,0,7,7,7,7,7,7,3,
2,0,0,4,4,4,4,8,8,8,8,8,0,
3,2,3,3,3,3,3,3,3,3,3,3,2,
4,0,0,0,5,5,5,5,5,5,5,5,0,
5,2,2,2,5,5,5,5,5,5,8,8,0,
6,0,0,0,0,0,7,7,7,7,7,7,3,
7,2,2,2,5,6,7,7,7,7,7,7,3,
8,0,0,0,4,6,6,6,6,6,6,6,3,
9,0,0,4,4,4,4,8,8,8,8,8,0,
10,2,2,2,5,5,5,2,2,2,8,8,0,
11,2,1,2,4,2,2,2,2,10,10,10,3,
12,2,2,2,2,2,2,2,2,2,2,2,1,
13,2,0,0,0,0,0,0,0,0,8,11,0,
14,2,2,4,4,2,4,8,8,8,11,11,1,
15,2,2,2,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,2,2,12,1,
20,2,2,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,7,7,7,7,7,7,1,
22,1,1,1,1,1,1,1,1,1,1,1,4,
23,2,2,4,4,4,4,8,8,8,8,8,0,
24,1,1,1,1,1,1,1,1,1,1,1,4,
25,0,0,0,0,0,0,0,0,0,11,11,1,
26,1,1,1,1,1,1,1,1,1,1,1,4,
27,0,0,2,2,2,2,2,2,2,11,12,1,
28,2,3,2,4,5,5,2,4,10,10,10,2,
29,1,1,1,1,1,1,4,4,1,10,1,4,
30,0,3,3,3,3,3,3,3,3,3,3,2,
31,0,3,3,3,3,3,3,3,3,3,3,2,
32,0,3,3,3,3,3,3,3,3,3,3,2,
33,0,3,3,3,3,3,3,3,3,3,3,2,
34,2,2,4,4,4,4,4,4,4,4,4,4,
35,0,0,0,5,5,5,5,5,5,5,5,0,
36,0,0,4,4,6,6,6,6,6,6,6,3,
37,0,0,0,0,0,0,0,0,0,0,9,3,
38,0,0,0,0,0,0,0,0,4,4,4,4,
39,0,0,4,4,4,4,4,4,4,4,4,4,
40,2,2,4,4,4,4,4,4,9,9,9,4,
41,2,2,0,0,4,6,4,9,9,9,9,4,
42,0,0,0,0,4,6,4,9,9,9,9,4,
43,1,1,1,1,1,1,1,1,1,1,1,4,
44,1,1,4,4,4,4,4,4,10,10,10,4,
45,1,1,1,1,1,1,1,1,1,1,1,4,
46,1,1,1,4,6,6,6,6,6,6,6,3,
47,0,0,4,4,6,6,6,6,10,10,10,3,
48,1,1,1,1,1,1,1,1,1,1,1,4,
49,1,3,3,3,3,3,3,3,3,3,3,2,
50,1,1,1,1,1,1,1,1,1,1,1,4,
51,1,1,1,1,1,1,1,4,1,1,1,4,
52,1,1,1,1,1,1,1,1,1,1,1,4,
53,1,1,1,1,1,1,4,4,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12920271057338859,0.14934103679600944,0.16727138594201224,0.1637553466762967,0.17999194765695858,0.17000215798801127,0.18334959895017797,0.17330759248853908,0.17736207871768034,0.16764801361563014,0.16462766654944275,0.21263633984440744,
NMI,0.24657795116591813,0.4895135518491322,0.44718105965941751,0.57427708588615634,0.69655516732339151,0.61204233373680994,0.65473219726983489,0.64393531958328121,0.67654240623225925,0.73899497777598455,0.70650339969106379,1.0,
Silhoutte,0.0409142,0.0928121,0.11988438,0.13193454,0.15789177,0.16092439,0.20031271,0.2125896,0.22833412,0.22919514,0.23652904,0.12040299,
