,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,0,3,3,3,3,7,7,7,7,7,7,13
1,1,1,1,4,6,6,6,6,6,6,6,6
2,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1
4,0,3,3,3,6,7,7,7,7,7,7,13
5,0,0,4,4,6,6,6,6,6,6,6,6
6,2,3,4,4,6,6,6,6,6,6,6,6
7,0,0,4,2,2,2,8,8,8,11,11,11
8,0,3,4,2,2,2,8,8,8,11,11,11
9,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1
11,0,0,4,0,0,0,0,9,10,10,10,10
12,0,3,4,4,6,6,6,6,6,6,6,6
13,1,1,1,1,1,1,1,1,10,10,12,12
14,2,3,3,3,3,3,3,3,3,3,3,3
15,2,3,3,3,3,3,3,3,3,3,3,3
16,1,1,4,4,4,4,4,4,4,4,4,4
17,1,3,3,3,3,3,3,3,3,3,3,3
18,2,3,3,3,3,3,3,3,3,3,3,3
19,2,3,0,0,0,7,0,8,9,9,12,7
20,2,3,3,3,3,3,3,3,3,3,3,3
21,2,3,3,3,3,3,3,3,3,3,3,3
22,2,3,3,3,3,3,3,3,3,3,3,3
23,1,1,1,1,1,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0,0,0,12,12
25,0,0,0,4,6,0,8,8,9,8,8,8
26,2,3,3,3,3,3,3,3,3,3,3,3
27,0,0,0,0,0,7,4,8,9,9,12,7
28,2,2,2,5,5,5,5,5,5,5,2,2
29,2,2,2,5,2,2,2,2,5,5,2,2
30,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,2,2
35,0,3,3,3,6,7,7,7,7,7,7,13
36,2,2,2,2,2,2,2,2,8,11,11,11
37,2,2,2,2,2,2,2,9,2,2,9,9
38,2,2,2,2,2,2,2,2,4,0,2,2
39,2,2,2,4,4,4,4,4,4,4,4,4
40,2,3,4,5,5,5,5,5,5,5,5,5
41,0,0,0,5,5,5,5,5,5,5,5,5
42,2,3,4,5,5,5,5,5,5,5,5,5
43,2,3,4,5,5,5,5,5,5,5,5,5
44,2,2,2,2,2,2,2,2,2,2,2,2
45,1,2,4,4,4,4,4,4,4,4,4,4
46,1,2,2,4,4,4,4,4,4,4,4,4
47,2,2,2,2,2,2,2,2,2,2,9,9
48,2,2,2,2,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2,2,2,9,9
50,2,0,4,5,6,5,8,8,5,8,8,8
51,2,2,2,4,2,2,8,8,9,8,8,8
52,0,0,0,2,2,2,8,9,10,10,10,10
53,2,2,2,2,2,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
