,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,2,2,2,2,2,2
1,1,1,1,1,1,1
2,2,2,2,2,2,2
3,2,3,4,4,6,6
4,2,2,2,2,2,2
5,0,0,0,3,3,2
6,0,0,0,0,0,7
7,0,3,4,4,4,4
8,0,3,4,4,4,4
9,2,3,4,4,6,6
10,1,1,4,4,6,6
11,2,2,2,2,2,2
12,2,2,2,2,2,2
13,2,3,4,4,6,6
14,1,3,4,4,6,6
15,2,2,4,4,6,6
16,0,3,3,3,3,3
17,0,3,3,3,3,3
18,0,3,3,3,3,3
19,0,0,3,3,3,3
20,0,3,3,3,3,3
21,0,3,3,3,3,7
22,99,99,99,99,99,99
23,0,3,4,4,6,6
24,0,3,3,3,3,3
25,99,99,99,99,99,99
26,2,2,4,4,6,7
27,2,2,2,2,2,2
28,1,1,1,5,5,5
29,1,1,1,5,5,5
30,1,1,1,5,5,5
31,1,1,1,5,5,5
32,1,1,1,5,5,5
33,1,1,1,5,5,5
34,1,1,1,5,5,5
35,2,2,2,2,2,2
36,0,3,4,4,4,4
37,1,1,4,1,1,1
38,1,1,1,1,1,1
39,1,1,1,1,1,1
40,1,1,1,1,1,1
41,1,1,1,1,1,1
42,99,99,99,99,99,99
43,1,1,1,1,1,1
44,1,1,1,1,1,1
45,99,99,99,99,99,99
46,99,99,99,99,99,99
47,99,99,99,99,99,99
48,99,99,99,99,99,99
49,1,1,1,1,5,5
50,1,1,4,1,4,4
51,0,3,4,4,4,4
52,2,2,2,2,2,2
53,0,0,0,0,0,0
54,99,99,99,99,99,99
55,99,99,99,99,99,99
