,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,0,0,0,7,7,7,7,7
1,2,3,4,4,4,4,4,4,4,4
2,2,3,3,3,3,3,3,3,3,3
3,2,2,3,3,3,3,8,8,8,8
4,0,0,0,0,0,7,7,7,7,7
5,2,2,4,4,4,4,4,4,5,5
6,2,2,4,4,4,4,4,4,4,4
7,2,2,4,2,4,4,4,4,4,4
8,1,1,4,5,5,5,5,5,5,5
9,2,2,2,2,5,2,8,8,8,8
10,2,2,3,2,3,3,8,8,8,8
11,0,0,0,0,0,0,0,9,9,11
12,2,2,4,4,4,4,4,4,4,4
13,2,2,2,2,4,4,8,8,8,8
14,0,0,0,0,0,0,0,0,10,10
15,2,2,4,4,4,4,4,4,6,4
16,0,0,0,2,6,6,6,6,6,6
17,0,0,4,4,6,6,6,6,6,6
18,2,2,4,4,4,4,4,4,6,4
19,2,0,4,4,6,6,6,6,6,11
20,2,3,3,3,3,3,3,3,3,3
21,2,2,4,4,4,4,4,4,4,4
22,2,3,3,3,3,3,3,3,3,3
23,2,2,2,2,2,2,8,8,8,8
24,1,2,2,2,2,2,2,2,2,2
25,2,2,4,4,4,4,4,4,10,10
26,2,2,2,2,2,2,8,9,9,9
27,1,1,1,1,6,6,2,2,6,11
28,1,3,3,3,3,3,3,3,3,3
29,1,1,1,1,5,5,2,2,2,11
30,2,3,3,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3,3,3
32,2,3,3,3,3,3,3,3,3,3
33,2,3,3,3,3,3,3,3,3,3
34,1,1,1,1,2,2,2,2,2,2
35,1,1,1,1,2,7,7,7,7,7
36,1,1,1,5,5,5,5,5,5,5
37,2,0,0,5,5,5,5,5,5,5
38,2,2,2,5,5,5,5,5,5,5
39,1,1,1,5,5,5,5,5,5,5
40,1,1,1,1,1,1,1,1,1,1
41,2,2,4,1,1,1,1,1,1,1
42,2,2,4,1,1,1,1,1,1,1
43,1,1,2,1,2,2,2,2,2,2
44,1,1,1,1,5,5,2,2,2,2
45,1,1,0,1,0,0,0,9,9,9
46,1,1,1,1,2,5,2,2,2,2
47,1,1,1,5,5,5,5,5,5,5
48,1,1,1,1,5,5,5,5,5,5
49,1,1,1,1,1,1,2,2,2,2
50,1,1,2,1,2,2,2,2,2,2
51,1,1,2,2,2,2,2,2,2,2
52,1,2,2,2,2,2,2,2,2,2
53,1,1,1,5,2,5,2,2,2,2
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
