,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,3,3,5,5,5,5,5,5
1,0,0,4,4,6,6,6,9,10
2,1,1,3,5,5,5,5,5,5
3,1,3,3,3,3,3,3,3,3
4,0,3,3,5,5,5,5,5,5
5,1,1,1,1,1,1,1,1,1
6,0,1,1,4,6,6,6,9,10
7,0,1,1,1,6,6,6,6,6
8,0,0,4,4,6,6,6,6,6
9,1,3,3,0,1,1,3,3,3
10,1,1,1,1,1,1,3,3,3
11,0,3,4,4,4,7,7,7,7
12,1,1,1,1,1,1,1,1,1
13,1,3,3,3,3,3,3,3,3
14,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1
23,1,3,3,3,3,3,8,8,8
24,1,3,3,3,3,3,3,3,3
25,1,3,3,3,3,3,3,3,3
26,1,3,3,3,3,3,8,8,8
27,2,2,4,4,4,2,2,2,2
28,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,2
34,2,2,2,2,2,2,2,2,2
35,0,1,0,5,5,5,5,5,5
36,1,3,4,4,6,6,6,6,6
37,0,0,0,0,0,0,0,9,9
38,2,2,4,4,4,4,7,4,4
39,1,3,4,4,4,4,4,4,4
40,1,1,4,4,4,4,4,4,9
41,1,1,4,4,4,4,4,4,9
42,1,1,4,4,4,4,4,4,9
43,1,3,3,3,3,3,3,8,3
44,2,2,4,4,4,4,4,9,4
45,0,3,3,3,3,3,8,8,8
46,0,0,4,4,4,7,3,7,7
47,1,3,4,4,4,7,7,9,4
48,2,2,4,4,4,7,7,7,4
49,2,2,2,2,2,2,2,2,2
50,1,3,3,3,3,3,8,8,8
51,0,3,3,3,3,3,3,3,3
52,0,0,0,0,0,7,7,7,7
53,2,2,4,4,4,4,7,7,4
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
