,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,0,0,5,5,5,5,5,5,5,0,0
1,0,0,0,0,4,7,7,7,7,7,3,1
2,1,1,1,1,1,1,1,1,1,1,4,2
3,2,3,3,3,3,3,3,3,3,3,2,3
4,0,0,0,5,5,5,5,5,5,5,0,0
5,2,2,2,5,5,5,5,5,4,8,1,1
6,0,0,0,0,0,7,7,7,7,7,3,1
7,0,0,0,0,6,7,7,7,7,7,3,1
8,0,0,4,4,6,6,6,6,6,6,3,4
9,0,0,4,4,4,4,8,8,8,8,2,1
10,2,2,2,5,5,5,2,8,8,8,1,1
11,2,2,2,4,6,2,2,4,4,4,1,2
12,2,2,2,2,2,2,2,2,2,11,1,5
13,2,0,0,0,0,0,0,0,10,10,1,1
14,2,2,2,2,2,2,2,2,2,2,1,1
15,2,2,2,2,2,2,2,2,2,2,1,5
16,2,2,2,2,2,2,2,2,2,2,1,5
17,2,2,2,2,2,2,2,2,2,2,1,5
18,2,2,2,2,2,2,2,2,2,2,1,5
19,1,2,2,2,2,2,2,2,2,11,1,5
20,2,2,2,2,2,2,2,2,2,2,1,5
21,2,2,2,2,2,2,2,2,2,2,1,1
22,1,1,1,1,1,1,1,1,1,1,4,2
23,2,0,4,5,4,4,8,8,8,8,2,1
24,1,1,1,1,1,1,1,1,1,1,4,2
25,0,0,0,0,0,0,0,0,0,11,1,1
26,1,1,1,1,1,1,1,1,1,1,4,2
27,0,0,2,2,2,2,8,8,8,11,1,5
28,2,3,3,4,4,3,3,4,4,4,2,2
29,1,1,1,4,4,4,4,4,10,4,4,2
30,2,3,3,3,3,3,3,3,3,3,2,3
31,2,3,3,3,3,3,3,3,3,3,2,3
32,2,3,3,3,3,3,3,3,3,3,2,3
33,2,3,3,3,3,3,3,3,3,3,2,3
34,1,2,4,5,4,4,4,9,10,10,4,4
35,0,0,0,5,5,5,5,5,5,5,0,0
36,0,0,4,4,6,6,6,6,6,6,3,4
37,0,0,0,0,0,0,0,9,0,0,3,4
38,0,0,0,0,4,0,4,0,10,10,4,4
39,1,0,4,4,4,4,4,4,10,10,4,4
40,2,2,4,5,4,4,4,9,10,9,4,4
41,2,2,0,5,6,6,4,9,9,9,4,4
42,0,0,0,0,0,6,4,9,9,9,4,4
43,1,1,1,1,1,1,1,1,1,1,4,2
44,1,1,4,4,4,4,4,4,4,4,4,4
45,1,1,1,1,1,1,1,1,1,1,4,2
46,1,1,4,4,6,6,6,6,6,6,3,2
47,0,0,4,4,6,6,6,4,4,4,3,4
48,1,1,1,1,1,1,1,1,1,1,4,2
49,1,3,3,3,3,3,3,3,3,3,2,3
50,1,1,1,1,1,1,1,1,1,1,4,2
51,1,1,1,1,1,1,1,1,1,1,4,2
52,1,1,1,1,1,1,1,4,1,1,4,2
53,1,1,4,4,4,4,4,4,10,4,4,2
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1364628030465719,0.15993305346949518,0.18602937580872672,0.17363336089954717,0.17600271033653145,0.18380808537356613,0.19476022532249915,0.17783045329181144,0.17702669554547829,0.1664350808063105,0.22192295393659536,0.18046667811480815
NMI,0.40582952976942394,0.54105086644921108,0.62402980625815396,0.51815240614461067,0.61576769554612121,0.6842918805819912,0.777397630177592,0.62858292571246976,0.66609920127797295,0.66376728578047095,1.0,0.59016782608370844
