,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,1,3,3,3,3,3,3
1,1,3,3,3,3,3,3
2,99,99,99,99,99,99,99
3,2,3,4,3,3,7,7
4,1,3,3,3,3,3,3
5,0,0,0,0,0,7,7
6,0,3,3,0,3,7,4
7,2,2,2,2,2,2,2
8,2,2,2,2,2,2,2
9,99,99,99,99,99,99,99
10,2,2,2,2,2,2,2
11,2,2,2,2,6,6,6
12,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2
14,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2
23,0,3,4,3,3,7,7
24,2,2,2,3,3,7,7
25,1,2,2,2,6,6,6
26,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1
28,2,2,2,2,2,2,2
29,1,1,1,1,1,1,1
30,1,1,2,2,6,6,6
31,2,2,4,4,6,6,6
32,2,2,2,2,6,6,6
33,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1
35,0,3,3,3,1,3,1
36,1,1,4,4,4,4,4
37,1,1,4,4,4,4,8
38,0,0,4,4,4,4,4
39,1,1,4,4,4,4,4
40,2,3,3,5,5,5,5
41,2,3,3,5,5,5,5
42,2,3,3,5,5,5,5
43,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1
45,1,1,4,4,6,6,6
46,1,1,1,1,1,1,1
47,1,1,4,4,4,4,8
48,1,1,4,4,6,6,6
49,1,1,1,1,6,6,6
50,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1
52,1,1,1,1,6,6,8
53,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
