,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,2,3,3,3,3,3,3,3,3,3,3
1,1,1,4,4,6,6,6,6,10,10,10
2,2,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,11,11
4,2,3,3,3,3,7,3,3,3,3,3
5,0,0,0,0,0,0,0,0,9,9,12
6,0,0,0,5,5,5,5,5,5,5,12
7,0,1,4,1,1,1,1,1,1,1,9
8,1,1,4,1,1,1,1,1,1,1,9
9,99,99,99,99,99,99,99,99,99,99,99
10,1,1,1,1,3,3,3,3,3,3,1
11,1,1,4,1,1,1,1,1,1,1,1
12,1,1,1,1,3,3,3,3,3,3,1
13,0,2,2,4,2,2,2,6,9,9,9
14,2,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,9,9,2
17,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2
20,0,2,4,4,6,7,7,7,7,7,7
21,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2
23,2,2,2,2,4,4,8,8,8,8,8
24,2,3,3,3,3,3,3,3,3,11,11
25,1,1,4,1,1,1,1,1,1,1,9
26,2,2,2,2,6,6,6,6,10,10,10
27,1,1,1,1,1,1,1,1,1,6,6
28,1,3,1,5,5,5,5,5,5,5,5
29,1,1,1,5,5,5,5,5,5,5,5
30,0,0,0,5,5,5,5,5,5,5,5
31,0,0,4,4,6,7,7,7,7,7,7
32,0,0,0,0,6,6,0,9,6,6,6
33,2,3,4,3,6,7,7,7,7,7,7
34,1,1,1,1,1,1,1,1,1,1,9
35,2,3,3,3,3,3,3,3,3,3,3
36,1,1,4,1,1,1,1,1,1,1,9
37,2,3,3,3,3,3,3,3,3,3,1
38,0,3,0,5,5,5,5,5,5,5,5
39,0,0,4,4,6,7,7,7,7,7,7
40,0,0,3,4,4,4,4,4,4,4,4
41,1,1,1,1,4,1,1,1,1,4,1
42,0,0,3,4,4,4,4,4,4,4,4
43,1,1,1,5,5,6,6,6,10,10,10
44,1,1,1,1,4,4,4,4,4,4,1
45,1,1,1,1,4,4,4,4,4,4,1
46,2,3,3,3,3,3,3,3,3,11,11
47,0,0,0,0,0,0,8,8,8,8,8
48,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1
50,1,3,3,5,5,5,5,5,5,5,5
51,1,1,1,1,1,1,1,1,1,1,1
52,2,3,3,3,3,7,7,7,7,7,7
53,1,1,1,1,3,1,3,3,3,1,1
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
