,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,4,4,4,4,4,4,4,4
1,0,0,0,5,5,5,5,5,5,5
2,2,3,3,3,1,1,3,4,4,3
3,1,3,3,3,1,3,3,3,3,3
4,0,0,4,4,4,4,4,4,4,4
5,1,1,1,1,3,3,1,1,1,1
6,0,0,0,5,5,5,5,5,5,5
7,1,1,1,5,5,5,5,5,5,5
8,1,1,1,1,3,3,1,1,10,10
9,2,3,3,3,6,6,6,3,3,9
10,2,3,3,3,6,6,3,3,3,3
11,1,1,1,1,3,3,1,1,1,1
12,2,2,4,4,4,4,4,9,2,11
13,1,1,1,1,3,3,1,1,10,10
14,1,3,3,3,1,1,3,3,3,3
15,2,2,2,2,2,2,2,9,2,2
16,2,2,2,2,2,2,4,9,2,11
17,2,2,2,2,2,2,2,9,2,2
18,2,2,2,2,2,2,2,9,2,2
19,2,2,2,2,2,2,2,9,2,11
20,2,2,2,2,2,2,2,2,9,2
21,2,0,0,5,5,5,5,5,5,2
22,2,2,2,2,2,2,2,2,9,2
23,2,3,3,3,1,1,3,3,3,3
24,1,3,3,3,1,1,3,3,3,3
25,1,3,3,3,1,3,3,3,3,3
26,0,0,4,4,4,4,8,8,8,8
27,1,1,1,1,3,3,1,1,1,1
28,1,1,1,1,3,3,1,1,1,1
29,1,1,1,1,3,3,1,1,1,1
30,2,3,3,3,6,6,6,6,6,9
31,2,3,3,3,6,6,6,6,6,6
32,0,3,3,3,6,6,6,2,9,9
33,2,3,3,3,6,6,6,6,6,6
34,0,0,0,0,0,0,0,0,0,0
35,2,3,3,3,1,1,3,3,3,3
36,0,1,1,1,3,3,1,1,10,10
37,1,1,1,1,1,1,3,3,3,3
38,0,2,2,2,2,7,6,9,4,0
39,1,1,1,1,3,3,1,1,1,1
40,0,2,0,0,0,7,7,7,7,7
41,1,0,1,0,3,7,7,7,7,7
42,1,0,1,0,3,7,7,7,7,7
43,0,0,4,4,4,4,8,8,8,8
44,1,1,1,1,3,3,1,1,1,1
45,0,0,4,4,4,4,8,8,8,8
46,2,3,3,3,1,1,3,3,3,3
47,1,1,1,1,3,3,1,1,1,1
48,1,1,1,1,3,3,1,1,1,1
49,1,1,1,1,3,3,1,1,1,1
50,1,3,3,3,1,1,3,3,3,3
51,2,3,3,3,1,1,3,3,3,3
52,1,3,3,3,1,1,3,3,3,3
53,2,3,3,3,1,1,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
