,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,4,4,4,4,4,0,0
1,0,0,0,0,0,0,6,0,1
2,1,1,4,4,4,4,4,0,2
3,0,3,3,3,3,3,3,1,3
4,0,3,4,4,4,4,4,0,0
5,1,1,1,1,1,1,1,0,4
6,1,1,1,1,1,1,1,0,4
7,1,1,1,1,1,1,1,0,4
8,1,1,1,1,1,1,1,0,2
9,0,3,3,3,3,3,3,1,3
10,1,1,1,1,1,1,1,0,2
11,2,2,2,2,2,2,2,3,5
12,1,1,1,1,1,1,1,0,4
13,1,1,1,1,1,1,1,0,4
14,1,1,1,1,1,1,1,0,4
15,1,1,1,1,1,1,1,0,4
16,1,1,1,1,1,1,1,0,4
17,1,1,1,1,1,1,1,0,4
18,1,1,1,1,1,1,1,0,4
19,1,1,1,1,1,1,1,0,4
20,1,1,1,1,1,1,1,0,4
21,1,1,1,1,1,1,1,0,4
22,1,1,1,1,1,1,1,0,4
23,2,3,3,3,3,3,3,1,3
24,2,2,2,2,2,2,2,3,5
25,2,2,2,2,2,2,2,3,6
26,1,1,1,1,1,1,1,0,4
27,1,1,1,1,1,1,1,0,2
28,2,2,2,2,2,2,7,3,6
29,2,2,2,2,2,2,2,3,5
30,0,3,3,3,6,6,7,3,6
31,0,0,0,0,5,6,6,2,1
32,0,0,0,0,6,6,6,2,1
33,2,2,2,2,2,2,2,3,5
34,2,2,2,2,2,2,2,3,7
35,0,3,4,4,4,4,4,0,0
36,0,0,4,5,6,7,8,3,7
37,2,2,2,2,2,2,2,3,7
38,2,2,2,2,2,2,2,3,7
39,2,2,2,2,2,2,2,3,5
40,1,1,3,5,5,5,5,3,8
41,1,1,1,5,5,5,5,3,8
42,2,2,3,3,5,5,5,3,8
43,1,1,1,5,6,7,8,3,8
44,2,2,2,2,2,2,2,3,5
45,2,2,2,2,2,2,2,3,5
46,2,2,2,2,2,2,2,3,5
47,0,0,4,5,6,7,8,3,7
48,2,2,2,2,2,2,2,3,5
49,2,2,2,2,2,2,2,3,5
50,2,2,2,2,2,2,2,3,5
51,2,2,2,2,2,2,2,3,5
52,2,2,2,2,2,2,2,3,6
53,2,2,2,2,2,2,2,3,5
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.2144547479528347,0.2235711101033844,0.22242475129960754,0.23493586883168252,0.23481005078414005,0.23693370330469812,0.23485589466401993,0.25766319270064897,0.19006368213290187
NMI,0.47502568778887766,0.55119367837302891,0.59092150597532556,0.72916571099759486,0.72608466955870854,0.75186011645188766,0.74135662856615248,1.0,0.68499121151565034
