,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,2,4,4,6,6,0,0
1,0,3,3,5,5,5,1,1
2,2,3,4,4,6,6,0,0
3,2,2,2,4,6,7,1,2
4,2,2,4,4,6,6,0,0
5,2,1,4,1,2,1,0,2
6,2,3,3,5,5,5,1,1
7,2,1,1,1,5,5,1,2
8,1,1,1,1,1,1,2,3
9,1,1,4,4,6,7,1,4
10,2,2,2,2,2,2,1,2
11,1,1,1,1,1,1,2,5
12,2,2,2,2,2,2,1,2
13,2,2,2,2,2,2,1,2
14,2,2,2,2,2,7,1,4
15,2,2,2,2,2,2,1,6
16,2,2,2,2,2,2,1,6
17,2,2,2,2,2,2,1,6
18,2,2,2,2,2,2,1,6
19,2,2,2,2,2,2,1,6
20,2,2,2,2,2,2,1,6
21,2,2,2,5,5,5,1,1
22,2,2,2,2,2,2,1,6
23,2,2,4,4,6,7,1,2
24,2,1,1,1,1,1,2,2
25,1,1,1,1,1,1,2,5
26,2,2,2,2,2,2,1,7
27,1,1,1,1,1,1,2,5
28,1,3,3,3,3,3,2,7
29,1,3,3,3,3,3,2,7
30,2,3,3,2,3,2,1,7
31,1,3,3,3,3,3,2,7
32,1,3,3,3,3,3,2,7
33,1,1,1,1,1,1,2,5
34,1,1,1,1,1,1,2,5
35,0,0,4,5,4,4,0,7
36,1,1,1,1,4,4,2,3
37,1,1,1,1,4,4,2,3
38,1,1,1,1,1,1,2,5
39,1,1,1,1,1,1,2,5
40,1,1,1,1,1,1,2,8
41,1,1,1,1,1,1,2,8
42,1,1,1,1,1,1,2,8
43,1,1,1,1,1,1,2,5
44,1,1,1,1,1,1,2,5
45,1,1,1,1,1,1,2,5
46,2,2,2,2,2,2,1,2
47,1,1,1,1,1,1,2,5
48,1,1,1,1,1,1,2,5
49,1,1,1,1,1,1,2,5
50,2,3,3,3,3,3,2,7
51,2,3,3,3,3,3,2,7
52,1,3,3,4,3,3,2,7
53,1,1,1,1,1,1,2,5
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.06880745171734684,0.0728920827092429,0.08419639548770483,0.08075896472931818,0.08191869092972721,0.08079439454855154,0.10302244558767526,0.06055932454515022
NMI,0.47152052030188135,0.42469486019003067,0.60309006409449739,0.52771418191243369,0.56925707247488433,0.65565112113942459,1.0,0.4898289290770631
