,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,LPA
0,2,2,2,5,0,0
1,1,2,4,4,0,1
2,1,1,4,4,0,1
3,2,3,3,3,2,2
4,1,1,1,1,0,3
5,1,1,1,1,0,4
6,1,1,1,1,0,4
7,1,1,1,1,0,4
8,1,1,1,1,0,4
9,1,1,1,1,0,3
10,1,1,1,1,0,4
11,1,1,1,1,0,4
12,1,1,1,1,0,4
13,1,1,1,1,0,4
14,1,1,1,1,0,3
15,1,1,1,1,0,3
16,1,1,1,1,0,4
17,1,1,1,1,0,3
18,1,1,1,1,0,4
19,1,1,1,1,0,4
20,1,1,1,1,0,4
21,1,1,1,1,0,4
22,1,1,1,1,0,4
23,1,1,1,1,0,1
24,2,3,3,3,2,5
25,2,3,3,3,0,2
26,0,0,4,4,0,0
27,2,2,2,2,1,6
28,2,2,2,2,1,6
29,2,2,2,2,1,6
30,1,3,3,3,1,7
31,2,2,2,2,1,6
32,2,2,2,2,1,6
33,2,2,2,2,1,6
34,2,2,2,2,1,6
35,2,2,4,4,2,8
36,2,2,2,2,1,6
37,1,3,3,3,2,8
38,2,2,2,2,1,6
39,2,2,2,2,1,6
40,2,2,2,5,1,7
41,2,2,2,2,1,6
42,2,2,2,2,1,0
43,1,1,4,4,2,8
44,2,2,2,2,1,6
45,2,2,2,2,1,6
46,1,3,3,3,1,7
47,2,2,2,2,1,6
48,2,2,2,2,1,6
49,1,3,3,3,2,5
50,0,0,4,4,2,8
51,1,3,3,3,2,5
52,1,1,1,1,0,3
53,1,1,4,5,2,8
54,99,99,99,99,99,99
55,99,99,99,99,99,99
Modularity,0.17489216370403055,0.23378442234403843,0.25253328780966483,0.2508201203339161,0.27472114657716895,0.16937318886270028
NMI,0.36498414635810061,0.50238157274817208,0.6344890203281528,0.62201058653622654,1.0,0.6819269263545894
