,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,2,2,2,2,2,2,2,2,2,0,
1,2,2,2,2,2,7,7,7,7,0,
2,2,2,2,2,2,2,2,2,2,0,
3,2,3,3,3,3,3,3,3,3,2,
4,2,2,2,2,2,2,2,2,2,0,
5,2,2,2,2,2,2,2,2,2,0,
6,0,0,4,4,6,7,7,7,7,2,
7,0,3,4,4,6,6,6,6,6,1,
8,0,0,4,4,6,6,6,6,6,1,
9,2,3,3,3,3,3,3,3,3,2,
10,2,3,3,3,3,3,3,3,3,2,
11,2,2,2,2,2,2,2,2,2,0,
12,0,3,3,3,6,7,7,7,7,2,
13,2,3,3,3,3,3,3,3,3,2,
14,2,3,3,3,3,3,3,3,3,2,
15,2,3,3,5,5,5,5,5,5,2,
16,2,2,2,5,5,5,5,5,10,2,
17,2,2,2,5,5,5,5,5,5,2,
18,2,2,4,5,5,5,5,5,5,2,
19,0,0,0,5,5,5,8,9,9,2,
20,2,2,4,4,4,4,4,4,4,2,
21,0,3,3,5,6,7,7,7,7,2,
22,2,2,1,5,5,5,5,5,5,2,
23,1,3,3,3,3,3,3,3,3,2,
24,1,3,3,3,3,3,3,3,3,2,
25,1,3,3,1,3,3,3,3,3,2,
26,2,2,3,5,5,5,5,5,5,2,
27,1,1,2,2,2,2,2,2,2,0,
28,1,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,3,
30,1,1,1,1,4,4,1,1,1,2,
31,0,0,4,4,4,4,4,4,4,2,
32,0,0,4,4,4,4,4,4,4,2,
33,2,2,2,2,2,2,2,2,2,0,
34,1,1,1,1,1,1,1,1,1,3,
35,2,2,2,2,2,2,2,2,2,0,
36,1,1,1,1,1,6,6,6,6,3,
37,1,1,1,1,1,1,8,8,8,3,
38,1,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,1,3,
41,1,1,1,1,1,1,1,1,1,3,
42,1,1,1,1,1,1,1,1,1,3,
43,1,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,1,3,
46,0,0,0,0,6,4,8,8,8,3,
47,99,99,99,99,99,99,99,99,99,99,
48,1,1,1,1,1,1,1,1,10,3,
49,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,3,
52,0,0,0,0,0,0,0,9,9,0,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,1,1,1,3,
Modularity,0.13154670679964253,0.14023957194864445,0.14830376187831099,0.16156799872322034,0.16441556268581276,0.15738678170102832,0.15070522656150387,0.15074197680192433,0.14553331327440266,0.18109008214776057,
NMI,0.40216383878636347,0.50785564734620015,0.62262279936586562,0.69490199389599938,0.74378244217551137,0.71176387775922245,0.65640747372063757,0.66120778537281799,0.62943652401996664,1.0,
Silhoutte,0.13597363,0.14596029,0.15624105,0.19977006,0.20515495,0.22086865,0.25070531,0.26233028,0.2651894,0.15771064,
