,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,0,0,5,5,5,5,5,5,2,0
1,1,3,3,5,5,5,8,8,8,2,1
2,0,0,4,4,4,4,4,4,4,2,2
3,1,1,1,1,1,3,3,3,3,1,1
4,0,0,0,5,5,5,5,5,5,2,0
5,0,0,4,5,5,5,8,8,8,1,0
6,1,1,1,1,1,3,8,8,8,1,1
7,1,1,1,1,1,3,3,3,3,1,1
8,0,3,4,4,4,7,7,7,7,3,0
9,2,3,4,4,4,4,4,4,4,2,2
10,1,1,1,1,1,3,3,3,3,1,1
11,1,1,1,1,1,3,3,3,3,1,1
12,1,1,1,1,1,3,3,3,3,1,1
13,1,1,1,1,1,3,3,3,3,1,1
14,1,3,3,3,3,1,1,1,1,0,3
15,1,3,3,3,3,1,1,1,1,0,3
16,1,3,3,3,3,1,1,1,1,0,1
17,1,3,3,3,3,1,1,1,1,0,3
18,1,3,3,3,3,1,1,1,1,0,3
19,1,3,3,3,3,1,1,1,1,0,1
20,2,3,3,3,3,1,1,1,1,0,4
21,1,1,3,5,5,0,8,8,8,1,0
22,1,3,3,3,3,1,1,1,1,0,3
23,1,3,1,1,1,3,3,3,3,1,1
24,1,1,1,1,1,3,3,3,3,1,1
25,2,2,2,2,2,2,2,2,1,0,4
26,2,3,3,3,2,1,1,1,1,0,4
27,1,1,1,1,1,3,3,3,3,1,1
28,1,1,1,1,1,3,3,3,3,1,4
29,2,2,2,2,6,6,6,6,6,3,4
30,0,3,4,4,4,4,4,4,4,2,2
31,0,1,4,4,4,4,4,4,4,2,2
32,0,0,4,4,4,4,4,4,10,2,2
33,2,2,2,2,6,6,6,6,6,3,4
34,0,1,4,4,4,4,4,4,4,2,2
35,2,2,2,5,5,5,5,9,9,3,4
36,0,3,4,4,4,7,7,7,7,3,0
37,2,2,2,2,6,6,6,6,6,3,5
38,2,2,2,2,6,6,6,6,6,3,5
39,2,2,2,2,6,6,6,6,6,3,5
40,2,2,2,2,2,2,2,2,2,3,5
41,2,2,2,2,2,2,2,2,2,3,5
42,2,2,2,2,2,2,2,2,2,3,5
43,2,2,2,2,2,2,2,2,2,3,4
44,2,2,2,2,6,6,6,6,6,3,5
45,2,2,2,2,6,6,6,6,6,3,5
46,1,1,1,1,1,3,3,3,3,1,1
47,0,0,0,0,6,6,6,6,0,3,0
48,2,2,2,2,6,6,6,6,6,3,5
49,2,2,2,2,6,6,6,6,6,3,4
50,1,1,1,1,1,3,3,3,3,1,1
51,2,2,2,2,2,2,7,7,7,3,4
52,1,1,1,1,5,5,5,9,9,1,4
53,2,2,2,2,0,0,8,9,9,3,0
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.11741918874917426,0.1061178747007254,0.12634402771496994,0.12852281141086092,0.11606680848104436,0.11391771949573186,0.11076674227846886,0.11216738560386758,0.10795124016288064,0.13856081061984882,0.09108674789684436
NMI,0.5095092819600161,0.57158303865772397,0.68467988260211599,0.73146675646401338,0.6704258739126655,0.71581590409247531,0.6919282004840559,0.73447454462663198,0.74511779225782948,1.0,0.5314039617246713
