,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,1,4,1,1,1,1,8,4,4,4
1,0,0,2,0,0,0,0,9,9,9,9
2,1,1,4,1,1,1,1,1,8,8,8
3,1,1,4,4,6,6,6,6,6,6,6
4,0,0,4,1,1,1,1,8,4,4,4
5,1,1,4,1,1,1,1,1,8,8,8
6,0,0,4,2,2,2,7,9,9,9,9
7,0,0,0,0,0,6,8,8,8,11,11
8,0,0,0,0,0,5,5,5,5,11,11
9,2,3,3,3,3,3,3,3,3,3,3
10,1,1,4,1,1,1,1,1,8,8,8
11,1,1,4,5,5,7,7,7,8,8,7
12,1,1,4,1,1,1,8,1,8,8,8
13,1,1,4,1,6,6,6,6,6,6,8
14,1,2,1,4,4,4,4,4,1,1,1
15,1,3,1,4,4,4,4,4,1,1,1
16,1,1,4,1,4,4,4,4,8,1,8
17,1,1,1,4,4,4,4,4,1,1,1
18,1,1,1,4,4,4,4,4,1,1,1
19,0,3,1,4,4,4,4,4,10,10,10
20,1,1,1,4,4,4,4,4,1,1,1
21,1,1,4,1,4,4,4,4,9,9,9
22,1,3,1,4,4,4,4,4,1,1,1
23,0,1,4,1,6,6,6,6,6,6,6
24,2,1,4,1,6,6,6,6,6,6,6
25,2,2,4,1,6,6,6,6,6,6,6
26,1,1,4,1,1,1,1,9,6,9,9
27,2,2,2,2,2,2,2,2,10,10,10
28,2,3,3,3,3,3,3,3,3,3,3
29,2,2,2,2,2,2,2,2,10,10,12
30,2,3,3,3,3,3,3,3,3,3,3
31,2,3,3,3,3,3,3,3,3,3,3
32,2,3,3,3,3,3,3,3,3,3,3
33,2,3,3,3,3,3,3,3,3,3,3
34,1,3,3,3,3,3,3,3,3,3,3
35,0,2,4,1,1,1,1,8,4,4,4
36,2,2,2,5,5,2,2,2,2,11,2
37,1,1,1,4,6,6,8,9,8,5,5
38,2,2,2,5,6,2,8,2,10,10,12
39,2,2,2,5,5,7,7,7,7,7,7
40,2,2,2,2,2,5,5,5,5,5,5
41,0,1,4,5,5,5,5,5,5,5,5
42,1,1,0,2,2,5,5,5,5,5,5
43,2,2,2,2,2,2,2,2,2,2,2
44,2,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2
46,2,2,2,5,5,7,7,7,7,7,7
47,0,1,1,4,6,6,8,9,8,5,5
48,2,2,2,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2,2,2,4
50,2,2,2,5,5,7,7,7,7,7,7
51,0,0,0,5,5,7,7,7,7,7,7
52,2,2,4,1,1,2,1,8,4,4,4
53,2,2,2,5,2,2,0,2,2,2,2
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
