,Cluster 2,Cluster 3,Cluster 4,Cluster 5
0,2,2,2,5
1,1,2,4,4
2,1,1,4,4
3,2,3,3,3
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,2,3,3,3
25,2,3,3,3
26,0,0,4,4
27,2,2,2,2
28,2,2,2,2
29,2,2,2,2
30,1,3,3,3
31,2,2,2,2
32,2,2,2,2
33,2,2,2,2
34,2,2,2,2
35,2,2,4,4
36,2,2,2,2
37,1,3,3,3
38,2,2,2,2
39,2,2,2,2
40,2,2,2,5
41,2,2,2,2
42,2,2,2,2
43,1,1,4,4
44,2,2,2,2
45,2,2,2,2
46,1,3,3,3
47,2,2,2,2
48,2,2,2,2
49,1,3,3,3
50,0,0,4,4
51,1,3,3,3
52,1,1,1,1
53,1,1,4,5
54,99,99,99,99
55,99,99,99,99
