,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,2,5,5,5,5,5
1,2,2,2,2,6,7,7,7
2,2,2,4,5,5,5,5,5
3,2,3,4,4,4,4,4,4
4,2,2,2,5,5,5,5,5
5,2,2,2,5,5,5,7,5
6,0,0,3,2,6,7,7,7
7,0,0,3,2,2,2,8,9
8,0,0,0,5,5,5,8,9
9,2,3,4,4,4,4,4,4
10,0,3,4,4,6,6,6,4
11,2,2,2,5,5,5,2,8
12,0,0,4,3,6,7,7,7
13,2,3,4,4,4,4,4,4
14,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2
16,0,1,3,3,2,6,6,6
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2
21,1,1,3,3,6,7,7,7
22,99,99,99,99,99,99,99,99
23,0,3,4,4,4,4,4,4
24,0,3,4,4,4,4,4,4
25,1,3,4,4,4,3,3,3
26,2,2,2,2,2,2,2,2
27,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,3,3,3,3,3,3,3
31,0,3,3,3,3,3,3,3
32,0,3,3,3,3,3,3,3
33,0,3,3,3,3,3,3,3
34,1,1,1,1,1,1,1,1
35,2,2,4,5,5,5,5,5
36,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,99,99,99,99,99,99,99,99
46,0,0,3,4,6,6,6,6
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,6,6,6
49,2,2,2,5,5,5,5,5
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,8,8
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
