,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,1,1,4,4,4,4,4,4,4,4,4,3,0
1,0,0,0,0,0,7,7,7,10,10,10,0,1
2,1,1,1,1,1,1,1,1,1,1,1,3,2
3,1,3,4,5,4,4,4,9,9,9,9,1,3
4,1,1,4,4,4,4,4,4,4,4,4,3,0
5,1,1,1,1,1,1,1,1,1,1,1,3,2
6,0,0,0,0,0,7,7,9,10,10,10,0,1
7,1,1,1,1,1,1,1,1,1,1,1,3,2
8,0,3,3,3,3,3,3,3,3,3,3,3,4
9,1,1,1,1,1,1,1,1,1,1,1,1,2
10,1,3,3,3,3,3,3,3,3,3,3,3,4
11,0,3,3,3,3,3,3,3,3,3,3,3,4
12,1,1,1,1,1,1,1,1,1,1,1,3,2
13,1,3,1,1,1,1,4,9,9,9,9,1,3
14,1,3,2,5,6,7,7,7,7,7,7,1,5
15,1,1,1,1,1,1,1,1,1,1,1,3,2
16,1,1,1,1,1,1,1,1,1,1,1,3,2
17,1,1,1,1,1,1,1,1,1,1,1,3,2
18,1,1,1,1,1,1,1,1,1,1,1,3,2
19,1,1,1,1,1,1,1,1,1,1,1,3,2
20,1,1,1,1,1,1,1,1,1,1,1,3,2
21,1,1,1,1,1,1,1,1,1,1,1,1,2
22,1,1,1,1,1,1,1,1,1,1,1,3,2
23,1,3,4,5,6,7,7,7,9,9,9,1,3
24,0,3,2,5,6,7,7,7,7,7,7,1,5
25,0,3,3,5,6,7,7,7,7,7,7,1,5
26,1,3,4,4,4,4,8,1,1,1,11,1,3
27,2,2,2,2,2,2,2,2,2,2,2,2,6
28,2,2,2,2,2,2,2,2,2,2,2,2,6
29,2,2,2,2,2,2,2,2,2,2,2,2,6
30,2,2,2,2,2,2,2,2,2,2,2,2,6
31,0,0,0,4,0,6,6,6,8,8,6,2,7
32,2,2,2,2,2,2,2,2,2,2,2,2,6
33,2,2,2,2,2,2,2,2,8,8,2,2,7
34,2,2,2,2,2,2,2,2,2,2,2,2,6
35,1,1,1,1,1,1,4,4,4,4,4,3,6
36,0,0,0,0,6,6,6,6,6,6,12,2,7
37,0,0,0,0,6,6,6,6,6,6,6,2,7
38,0,0,0,0,0,0,0,0,0,11,11,2,7
39,0,3,3,3,3,6,6,6,6,3,12,2,7
40,2,2,2,5,5,5,5,5,5,5,5,2,8
41,0,0,0,5,5,5,5,5,5,5,5,2,8
42,0,0,0,5,5,5,5,5,5,5,5,2,8
43,0,3,4,4,4,4,8,8,8,8,11,1,3
44,2,2,2,2,2,2,2,2,2,2,2,2,6
45,2,2,2,2,2,2,2,2,2,2,2,2,6
46,0,3,3,3,3,3,3,3,3,3,3,3,4
47,0,0,0,0,6,6,6,6,6,6,6,2,7
48,2,2,2,2,6,6,6,6,6,2,2,2,6
49,2,2,2,2,2,2,2,2,2,2,2,2,6
50,2,3,4,4,4,4,8,8,9,11,11,1,3
51,0,3,4,4,4,4,8,8,8,8,8,1,7
52,0,0,0,0,0,0,0,0,0,0,0,3,7
53,0,0,4,4,4,4,8,8,8,8,8,1,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1793297574257579,0.17369256016288054,0.15147974598466968,0.17170921339158757,0.1624215322726747,0.16504629090299006,0.1668876918280347,0.16700490296464435,0.16198373133748456,0.16698594492346464,0.16897621692027945,0.21665575919633875,0.16707493739722518
NMI,0.37800104695479114,0.50990923508317065,0.45427975825133449,0.4576778584773824,0.49272650750234354,0.58152450135308487,0.59673682745072854,0.60124227917557371,0.60149774123417887,0.57000461519182954,0.63575229100615893,1.0,0.57476690795794649
