,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,2,3,0,5,5,5,5,5,5,0,
1,1,1,4,5,6,6,6,6,6,0,
2,2,2,2,2,2,2,2,2,2,1,
3,2,2,2,2,2,2,4,4,2,1,
4,2,0,0,5,5,5,5,5,5,0,
5,2,2,2,2,2,2,2,2,8,1,
6,1,1,4,5,6,6,6,6,6,0,
7,1,1,4,5,6,6,6,6,6,0,
8,1,1,1,1,1,1,8,8,4,3,
9,0,0,0,0,6,7,7,7,7,1,
10,2,2,2,2,2,2,2,2,2,1,
11,2,2,2,2,2,2,2,2,2,1,
12,2,2,2,2,2,2,2,8,8,1,
13,2,2,2,2,2,2,2,2,2,1,
14,0,3,3,3,3,3,3,3,7,1,
15,2,3,3,3,3,3,3,3,3,1,
16,1,1,1,1,1,1,1,1,1,3,
17,2,3,3,3,3,3,3,3,3,1,
18,2,3,3,3,3,3,3,3,3,1,
19,0,3,3,3,3,3,3,3,3,1,
20,2,3,3,3,3,3,3,3,3,1,
21,2,3,3,3,3,3,3,3,3,1,
22,2,3,3,3,3,3,3,3,3,1,
23,0,0,4,4,4,4,4,4,4,0,
24,2,3,4,4,4,4,4,4,4,1,
25,2,3,3,3,3,7,4,7,7,1,
26,0,0,0,0,0,0,0,8,10,1,
27,1,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,2,1,
34,99,99,99,99,99,99,99,99,99,99,
35,1,1,1,1,1,1,1,1,1,3,
36,1,1,1,1,1,1,1,1,1,3,
37,2,1,4,4,4,6,8,9,9,3,
38,1,1,4,4,4,5,8,9,9,3,
39,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,1,3,
41,0,0,4,4,4,7,7,7,7,0,
42,1,1,1,1,1,1,1,1,1,3,
43,0,0,4,4,4,4,4,4,4,0,
44,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,1,3,
47,2,1,4,4,4,6,8,9,9,3,
48,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.1451833580070548,0.16640981361496499,0.1785499492371908,0.17732900224374665,0.17660265094704714,0.1697693788793053,0.1653547175775139,0.15791086829190348,0.15606701779310903,0.2001135069594312,
NMI,0.50048721165108379,0.6250495471122115,0.64069383698454596,0.68942903519903931,0.64676050657726658,0.62915423249850755,0.67085115121517258,0.63669011367719353,0.63094301640434869,1.0,
Silhoutte,0.17376777,0.21628154,0.30000905,0.30730567,0.33988121,0.30571388,0.36240719,0.36183135,0.3633388,0.24502024,
