,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,2,3,3,3,3,3,3,3,3,3,0,0
1,1,1,1,1,5,5,5,5,5,5,1,1
2,1,3,3,3,3,3,3,3,3,3,0,2
3,0,0,4,5,5,5,5,5,5,5,1,1
4,2,3,3,3,3,3,3,3,3,3,0,0
5,1,3,3,3,1,1,1,1,1,1,0,2
6,1,1,1,1,1,1,1,1,1,1,1,1
7,0,3,3,3,3,7,7,7,7,7,0,3
8,0,0,0,0,0,7,7,7,7,7,0,3
9,2,3,4,4,4,4,4,4,4,4,2,2
10,1,1,4,3,3,1,1,5,5,5,0,2
11,1,3,3,3,3,3,3,3,3,3,0,0
12,1,1,3,3,1,1,1,1,1,1,0,2
13,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,5,5,5,5,5,5,5,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,0,2
17,1,1,1,1,1,1,1,1,1,1,0,2
18,1,1,1,1,1,1,1,1,1,1,1,1
19,0,1,0,1,1,7,8,8,8,8,2,4
20,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1
23,0,1,4,5,5,5,5,5,5,5,1,1
24,2,2,2,5,5,5,5,2,2,2,3,5
25,1,3,3,3,3,3,3,3,3,3,0,2
26,0,1,1,1,5,5,1,9,9,11,1,1
27,0,0,0,5,0,7,8,8,8,8,2,4
28,1,2,2,2,2,2,2,1,1,1,3,2
29,2,2,2,2,2,2,2,2,10,10,3,3
30,0,0,4,4,4,4,4,4,4,4,2,4
31,0,0,4,4,4,4,4,4,4,4,2,4
32,2,2,4,4,4,4,4,4,4,4,2,4
33,0,0,4,4,4,4,4,4,4,4,2,4
34,2,2,0,0,0,0,0,0,10,10,3,3
35,1,3,3,3,3,3,3,3,3,3,0,0
36,2,2,4,2,2,7,7,7,7,7,3,3
37,1,1,1,0,1,6,8,9,9,9,3,3
38,2,2,2,2,2,2,2,6,2,2,3,3
39,2,2,2,2,2,2,2,2,2,2,3,5
40,2,2,2,2,6,6,6,6,6,6,3,3
41,2,0,0,1,6,6,6,6,6,6,3,3
42,2,2,2,2,6,6,6,6,6,6,3,3
43,2,2,2,5,6,6,6,6,6,6,3,3
44,2,2,2,2,2,2,2,2,2,2,3,5
45,2,3,3,5,5,5,7,2,2,2,1,1
46,2,2,2,2,2,2,2,2,2,2,3,5
47,0,1,0,5,2,2,8,9,9,9,3,3
48,2,2,2,2,2,2,2,2,2,2,3,5
49,2,2,2,2,2,2,2,2,2,2,3,5
50,2,2,2,2,2,2,2,2,2,2,3,5
51,2,2,2,2,2,2,2,2,2,2,3,5
52,2,3,3,3,3,3,3,3,3,3,0,5
53,2,2,3,3,2,2,2,9,9,9,3,5
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.07884111041337077,0.09894571219375611,0.09975400577150817,0.10631354134992414,0.11209375170200177,0.11323206933479053,0.11207033918937788,0.11153442926308343,0.11164496829348029,0.112178072297878,0.1407091526277692,0.10737884617893147
NMI,0.30815145038132469,0.48022387891099194,0.50635838640968622,0.57330264929602881,0.61037502259383247,0.63955944686493882,0.60457482017833619,0.56333046516066199,0.56060739910729362,0.57971734196347602,1.0,0.69522266626891172
