,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,3,3,3,3,3,2,0
1,1,3,3,3,3,7,2,0
2,99,99,99,99,99,99,99,99
3,0,3,2,3,3,3,2,1
4,0,3,3,3,3,3,2,0
5,2,2,0,0,6,7,2,2
6,0,3,3,0,6,7,2,2
7,2,2,2,2,2,7,2,3
8,2,2,2,2,2,2,2,4
9,99,99,99,99,99,99,99,99
10,2,2,2,2,2,2,2,3
11,2,1,1,1,1,1,4,5
12,2,2,3,2,2,2,2,3
13,2,3,2,3,3,3,2,1
14,2,2,2,2,2,2,2,6
15,2,2,2,2,2,2,2,6
16,2,2,2,2,2,2,2,4
17,2,2,2,2,2,2,2,4
18,2,2,2,2,2,2,2,4
19,2,2,2,2,2,2,2,3
20,2,2,2,2,2,2,2,4
21,2,2,3,2,6,2,2,3
22,2,2,2,2,2,6,2,6
23,2,3,2,3,3,6,2,1
24,2,3,2,3,2,6,2,6
25,1,1,1,3,3,1,2,6
26,1,1,4,4,4,4,4,7
27,1,1,4,4,4,4,4,7
28,1,1,1,1,1,1,4,5
29,1,1,1,1,1,1,4,5
30,1,1,4,4,4,6,4,7
31,1,1,1,1,1,1,4,5
32,1,1,1,1,1,1,4,5
33,1,1,4,4,4,4,4,7
34,1,1,4,4,4,4,4,5
35,1,1,4,4,4,4,4,2
36,1,1,1,1,1,1,4,5
37,1,1,4,4,4,4,4,7
38,0,0,0,2,6,7,4,2
39,1,1,1,1,1,1,4,5
40,2,2,3,5,5,5,3,8
41,2,2,3,5,5,5,3,8
42,2,2,3,5,5,5,3,8
43,1,1,4,4,4,4,4,7
44,1,1,4,4,4,4,4,7
45,1,1,1,1,1,1,4,5
46,1,1,4,4,4,4,4,7
47,1,1,1,1,1,1,4,5
48,1,1,1,1,1,1,4,5
49,1,1,1,1,1,1,4,5
50,1,3,4,4,4,4,4,7
51,1,1,4,4,4,4,4,7
52,2,2,4,4,4,4,4,2
53,1,1,4,4,4,4,4,7
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.0809987170951545,0.09097357787455336,0.111883379323254,0.10103707362272539,0.09987163032519478,0.09467222747219939,0.1226553583788621,0.07342188156528232
NMI,0.40285941251553348,0.51481645637571594,0.58902128530094389,0.67682561807420405,0.68874914280719235,0.5705669315564118,1.0,0.60211254351503418
