,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,0,3,4,4,4,7,7,7,7,7,7,7
1,2,2,1,5,5,5,5,5,5,5,5,5
2,2,2,1,1,1,1,1,1,1,1,1,1
3,2,2,1,1,1,1,1,1,1,1,1,1
4,0,3,4,4,4,7,7,7,7,7,7,7
5,0,0,2,5,5,5,5,5,5,5,5,5
6,1,1,4,5,5,5,5,5,5,5,5,5
7,0,0,3,3,5,5,8,8,8,8,8,8
8,0,3,3,3,5,5,8,8,8,8,8,8
9,2,2,1,1,1,1,1,1,1,1,1,1
10,2,2,1,1,1,1,1,1,1,1,1,1
11,0,0,2,0,5,5,8,8,9,10,12,12
12,0,1,2,5,5,5,5,5,5,5,5,5
13,0,1,0,1,6,6,6,1,10,10,10,13
14,1,1,4,4,4,4,4,4,4,4,4,4
15,1,1,4,4,4,4,4,4,4,4,4,4
16,0,0,2,5,6,6,6,6,6,6,6,6
17,2,2,4,4,4,6,6,6,6,6,6,4
18,1,1,4,4,4,4,4,4,4,4,4,4
19,1,0,0,0,4,7,7,9,9,9,9,9
20,1,1,4,4,4,4,4,4,4,4,4,4
21,1,1,4,4,4,4,4,4,4,4,4,4
22,1,1,4,4,5,5,5,5,5,5,5,5
23,2,2,1,1,1,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0,10,10,10,13
25,0,0,0,5,6,6,6,9,9,11,11,11
26,1,1,4,4,4,4,4,4,4,4,4,4
27,0,0,0,0,0,7,7,9,9,9,9,9
28,1,3,2,2,3,3,2,2,2,2,2,10
29,1,3,3,3,3,3,3,3,3,3,3,10
30,2,2,1,1,1,1,1,1,1,1,1,1
31,2,2,1,1,1,1,1,1,1,1,10,1
32,2,2,1,1,1,1,1,1,1,1,1,1
33,2,2,1,1,1,1,1,1,1,1,1,1
34,0,0,0,0,0,0,0,0,10,1,10,10
35,0,1,4,4,4,7,7,7,7,7,7,7
36,1,3,3,3,3,3,8,8,8,8,8,8
37,0,3,3,3,3,3,3,3,3,3,3,3
38,1,3,2,0,0,0,0,0,6,6,10,10
39,2,3,2,5,6,6,6,6,6,6,6,6
40,1,1,2,2,2,2,2,2,2,2,2,2
41,0,0,0,2,2,2,2,2,2,2,2,2
42,1,2,2,2,2,2,2,2,2,2,2,2
43,1,2,2,2,2,2,2,2,2,2,2,2
44,1,3,3,3,3,3,3,3,3,3,3,10
45,2,3,2,5,6,6,6,6,6,6,6,6
46,2,2,2,5,6,6,6,6,6,6,6,6
47,1,3,3,3,3,3,3,3,3,3,3,3
48,1,3,3,3,3,3,3,3,3,3,3,10
49,1,3,3,3,3,3,3,3,3,3,3,3
50,2,2,2,5,6,6,2,2,2,11,11,11
51,1,3,3,5,6,6,8,9,10,11,11,11
52,0,0,3,3,0,0,8,8,9,9,12,12
53,1,3,3,3,3,3,3,3,3,3,3,10
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
