,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,3,4,5,3,3,0,0
1,1,3,4,5,3,3,0,0
2,1,3,4,5,3,3,0,0
3,2,2,2,5,6,6,1,1
4,0,3,3,5,3,3,0,0
5,2,2,4,4,4,4,0,2
6,1,2,4,5,3,3,0,0
7,1,1,4,5,3,3,0,0
8,0,0,4,4,4,4,0,2
9,2,2,2,5,6,6,1,1
10,0,0,4,4,4,4,0,3
11,0,0,4,4,4,4,0,3
12,1,2,4,4,4,4,0,3
13,1,1,3,4,6,6,1,2
14,1,3,3,3,5,5,0,4
15,2,3,3,3,5,5,0,4
16,2,3,3,3,5,5,0,2
17,2,3,3,3,5,5,0,4
18,2,3,3,3,5,5,0,4
19,2,3,3,3,5,5,0,4
20,2,3,3,3,5,5,0,4
21,2,3,3,3,5,5,0,2
22,1,1,1,1,1,1,2,5
23,2,2,2,5,6,6,1,1
24,2,2,2,5,6,6,1,1
25,1,1,1,1,1,1,2,6
26,1,3,3,3,5,5,0,2
27,1,1,1,1,1,1,2,5
28,1,1,1,1,1,1,2,7
29,1,1,1,1,1,1,2,5
30,2,2,2,2,2,2,1,6
31,2,2,2,2,2,2,1,6
32,2,2,2,2,2,2,1,6
33,2,2,2,2,2,2,1,6
34,2,2,2,2,2,2,1,6
35,0,2,4,5,3,3,0,0
36,1,1,1,1,1,1,2,8
37,1,1,1,2,6,7,2,8
38,1,1,1,2,6,7,2,8
39,1,1,1,1,1,1,2,7
40,1,1,1,1,1,1,2,8
41,0,0,0,0,0,7,2,8
42,1,1,1,1,1,1,2,7
43,1,1,1,1,1,1,2,5
44,1,1,1,1,1,1,2,7
45,1,1,1,1,1,1,2,7
46,1,1,1,1,1,1,2,7
47,1,1,1,1,1,1,2,7
48,1,1,1,1,1,1,2,7
49,1,1,1,1,1,1,2,7
50,2,2,2,2,2,2,1,6
51,1,1,1,1,1,1,2,5
52,1,1,1,1,1,1,2,5
53,1,1,1,1,1,1,2,5
54,1,1,1,1,1,1,2,5
55,99,99,99,99,99,99,99,99
Modularity,0.0873192232828501,0.15785360965831646,0.22570953656030762,0.19763139006086416,0.20638423709946527,0.20796199602054918,0.23911622085322082,0.15122158994553653
NMI,0.38722624801000338,0.62106862295796628,0.81957794345389157,0.61356164550384773,0.72601400235723756,0.77329214762611476,1.0,0.63257866317152367
