,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,0,0,0,6,6,6,6,6,0,
1,1,3,3,3,3,7,8,8,8,1,
2,1,3,3,3,3,3,3,3,3,1,
3,1,1,4,4,4,4,4,4,4,0,
4,0,0,0,0,6,6,6,6,6,0,
5,1,1,1,1,1,1,1,1,1,0,
6,2,2,1,1,1,1,8,8,8,0,
7,1,1,4,4,4,4,4,4,4,0,
8,1,1,1,1,1,1,1,1,1,0,
9,1,1,4,4,4,4,4,4,4,0,
10,1,1,4,4,4,4,4,4,4,0,
11,2,0,0,2,2,7,7,7,10,2,
12,1,1,1,1,1,1,1,1,1,0,
13,1,1,4,4,4,4,4,4,4,0,
14,0,0,1,0,1,1,8,9,7,0,
15,1,1,1,1,1,1,1,1,1,0,
16,2,2,2,3,2,2,2,2,2,2,
17,1,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,1,1,0,
20,1,3,3,3,3,3,3,3,3,1,
21,1,1,1,1,1,1,1,1,1,0,
22,1,3,3,3,3,3,3,3,3,1,
23,1,1,4,4,4,4,4,4,4,0,
24,0,1,4,4,4,4,4,4,4,0,
25,1,1,1,1,1,1,1,1,1,0,
26,1,1,0,0,0,7,7,7,7,0,
27,2,2,2,2,2,2,2,2,2,2,
28,1,3,3,3,3,3,3,3,3,1,
29,2,2,2,2,2,2,2,2,2,2,
30,1,3,3,3,3,3,3,3,3,1,
31,0,3,3,3,3,3,3,3,3,1,
32,0,3,3,3,3,3,3,3,3,1,
33,1,3,3,3,3,3,3,3,3,1,
34,2,2,2,2,2,2,2,9,2,2,
35,2,2,2,2,6,6,6,6,6,2,
36,2,2,2,2,2,2,2,2,2,2,
37,0,1,4,0,5,5,5,9,9,2,
38,1,1,4,4,0,4,4,9,9,2,
39,2,2,2,2,2,2,2,2,2,2,
40,2,2,2,5,5,5,5,5,5,2,
41,2,2,2,5,5,5,5,5,5,2,
42,2,2,2,5,5,5,5,5,5,2,
43,2,2,2,5,5,5,5,5,5,2,
44,2,2,2,2,2,2,2,2,2,2,
45,2,2,2,5,2,7,7,7,7,2,
46,2,2,2,2,2,2,2,2,2,2,
47,2,2,2,2,2,2,2,2,2,2,
48,2,2,2,2,2,2,2,2,2,2,
49,2,2,2,3,2,3,3,3,3,2,
50,2,2,2,4,4,7,7,7,2,2,
51,2,1,4,4,4,4,4,4,4,0,
52,0,3,4,4,4,4,4,4,4,0,
53,2,2,4,4,4,4,4,2,2,2,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12183031766602953,0.11912189136017515,0.14140409570319068,0.12191638872400422,0.12887946765409958,0.11700671019785062,0.11206129543631332,0.11296597924030044,0.11776908520904561,0.15814469531896427,
NMI,0.42393418738067584,0.64830647366873007,0.6899970406266408,0.56908314732125831,0.64115063097782832,0.54226824028846032,0.53495536630201512,0.56600794186191439,0.59991708229414498,1.0,
Silhoutte,0.11735848,0.12169183,0.15539463,0.16366425,0.17471084,0.17244699,0.18210177,0.21824677,0.22901518,0.12618157,
