,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,0,3,4,4,4,4,4,4,0,0
1,1,1,1,1,1,1,1,1,1,1
2,1,3,3,3,3,3,3,3,2,2
3,1,1,1,1,1,1,1,1,2,3
4,2,0,4,4,4,4,4,4,0,0
5,1,1,1,1,1,1,1,1,1,3
6,1,1,1,5,5,5,5,5,1,1
7,1,1,1,5,5,5,5,5,1,1
8,1,1,1,1,1,5,5,5,1,1
9,1,1,1,1,1,1,1,1,1,3
10,1,1,1,1,1,1,1,1,1,3
11,2,2,2,2,2,2,2,2,3,4
12,1,1,1,1,1,1,1,1,1,3
13,1,1,1,1,1,1,1,1,1,3
14,2,2,4,4,6,6,6,6,1,1
15,1,1,1,1,1,1,1,1,1,3
16,1,1,1,1,1,1,1,1,1,3
17,1,1,1,1,1,1,1,1,1,3
18,1,1,1,1,1,1,1,1,1,3
19,1,1,1,1,1,1,1,1,1,3
20,1,1,1,1,1,1,1,1,1,3
21,1,1,1,1,1,1,1,1,1,3
22,1,1,1,1,1,1,1,1,1,3
23,2,2,2,2,2,2,2,2,1,3
24,0,0,4,4,6,6,6,6,1,1
25,0,0,4,4,6,6,6,6,1,1
26,1,1,4,5,5,1,8,8,1,1
27,2,2,2,2,2,2,2,2,3,4
28,2,2,2,2,2,2,2,2,3,4
29,2,2,2,2,2,2,2,2,3,5
30,1,3,3,3,3,3,3,3,2,2
31,0,3,3,3,3,3,3,3,2,2
32,1,3,3,3,3,3,3,3,2,2
33,2,3,3,3,3,3,3,3,2,2
34,2,3,3,3,3,3,3,3,2,2
35,0,0,4,4,4,4,4,4,0,0
36,2,2,2,2,2,2,2,2,3,5
37,2,2,2,2,2,2,8,9,3,5
38,0,0,0,0,0,0,0,8,3,5
39,2,2,2,2,2,2,2,2,3,5
40,2,2,2,2,2,7,7,7,3,5
41,2,2,2,2,6,7,7,7,3,5
42,2,2,2,2,2,2,2,2,3,4
43,2,2,2,5,5,7,8,7,3,5
44,2,2,2,2,2,2,2,2,3,4
45,2,2,2,5,5,5,5,5,3,5
46,2,2,2,2,2,2,2,2,3,4
47,2,2,2,2,2,2,2,2,3,5
48,0,0,4,4,4,4,4,4,3,5
49,2,2,2,2,2,2,2,2,3,4
50,2,2,2,2,2,2,2,2,3,4
51,0,2,2,0,2,5,8,9,3,5
52,0,0,0,2,2,2,2,2,3,5
53,2,2,2,2,2,2,2,2,3,5
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.08453335141502563,0.09585394211769159,0.10996377848404516,0.09631588623390724,0.09508442281269064,0.09326677005556022,0.08490841425611477,0.08597468202264048,0.12160791864104767,0.0743965191451903
NMI,0.39523382433836302,0.63590720924518618,0.6858743049204995,0.60965252060797537,0.63002080544776062,0.63850588067588931,0.60581522905996521,0.61403109581263027,1.0,0.78196441202836797
