,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,1,4,4,4,4,4,4,4,4
1,0,0,0,5,5,5,5,5,5,5
2,0,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3
4,0,0,4,4,4,4,4,4,4,4
5,2,2,2,2,2,2,2,2,2,2
6,0,0,4,5,5,5,5,5,5,5
7,0,0,4,5,5,5,5,5,5,5
8,0,0,1,5,5,5,5,5,10,10
9,0,3,3,3,3,3,3,3,3,3
10,2,2,3,2,2,2,3,2,2,2
11,2,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,3,3,2,2,2
14,0,0,1,1,5,7,7,7,7,7
15,2,2,2,2,2,2,2,2,6,2
16,1,1,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2
22,1,1,2,2,2,2,2,2,6,2
23,0,3,3,3,3,3,3,3,3,3
24,2,2,4,0,0,7,7,7,7,7
25,0,0,0,0,5,7,7,7,7,7
26,0,0,4,4,0,0,0,0,0,11
27,1,1,1,1,1,1,1,2,2,2
28,2,2,2,2,2,2,2,2,2,2
29,1,1,1,1,1,1,1,1,1,1
30,0,3,3,3,3,3,3,3,3,3
31,1,3,4,3,3,5,8,8,9,9
32,0,3,4,3,3,5,8,8,9,9
33,1,3,4,4,6,6,8,8,9,9
34,1,1,1,1,1,1,1,1,1,1
35,0,0,3,4,4,4,4,4,4,4
36,1,1,1,1,1,1,1,1,10,10
37,0,3,0,3,6,6,7,9,6,6
38,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1
40,2,1,4,4,6,6,6,6,8,8
41,2,0,0,0,6,6,6,6,8,8
42,2,2,4,4,6,6,6,6,8,8
43,1,1,4,4,6,6,6,6,8,8
44,1,1,1,1,6,6,6,1,1,1
45,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1
47,0,3,0,3,6,6,8,9,6,6
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1
50,1,3,4,1,3,1,8,8,9,9
51,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
