,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,1,3,3,3,3,3,2,
1,1,3,3,3,3,7,2,
2,99,99,99,99,99,99,99,
3,0,3,2,3,3,3,2,
4,0,3,3,3,3,3,2,
5,2,2,0,0,6,7,2,
6,0,3,3,0,6,7,2,
7,2,2,2,2,2,7,2,
8,2,2,2,2,2,2,2,
9,99,99,99,99,99,99,99,
10,2,2,2,2,2,2,2,
11,2,1,1,1,1,1,4,
12,2,2,3,2,2,2,2,
13,2,3,2,3,3,3,2,
14,2,2,2,2,2,2,2,
15,2,2,2,2,2,2,2,
16,2,2,2,2,2,2,2,
17,2,2,2,2,2,2,2,
18,2,2,2,2,2,2,2,
19,2,2,2,2,2,2,2,
20,2,2,2,2,2,2,2,
21,2,2,3,2,6,2,2,
22,2,2,2,2,2,6,2,
23,2,3,2,3,3,6,2,
24,2,3,2,3,2,6,2,
25,1,1,1,3,3,1,2,
26,1,1,4,4,4,4,4,
27,1,1,4,4,4,4,4,
28,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,4,
30,1,1,4,4,4,6,4,
31,1,1,1,1,1,1,4,
32,1,1,1,1,1,1,4,
33,1,1,4,4,4,4,4,
34,1,1,4,4,4,4,4,
35,1,1,4,4,4,4,4,
36,1,1,1,1,1,1,4,
37,1,1,4,4,4,4,4,
38,0,0,0,2,6,7,4,
39,1,1,1,1,1,1,4,
40,2,2,3,5,5,5,3,
41,2,2,3,5,5,5,3,
42,2,2,3,5,5,5,3,
43,1,1,4,4,4,4,4,
44,1,1,4,4,4,4,4,
45,1,1,1,1,1,1,4,
46,1,1,4,4,4,4,4,
47,1,1,1,1,1,1,4,
48,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,4,
50,1,3,4,4,4,4,4,
51,1,1,4,4,4,4,4,
52,2,2,4,4,4,4,4,
53,1,1,4,4,4,4,4,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.0809987170951545,0.09097357787455336,0.111883379323254,0.10103707362272539,0.09987163032519478,0.09467222747219939,0.1226553583788621,
NMI,0.40285941251553348,0.51481645637571594,0.58902128530094389,0.67682561807420405,0.68874914280719235,0.5705669315564118,1.0,
Silhoutte,0.19139759,0.23485732,0.21780075,0.27315257,0.28814716,0.26165973,0.27951357,
