,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,0,3,4,4,4,4
1,1,1,1,5,5,6
2,0,3,4,4,4,4
3,2,2,2,2,2,2
4,0,3,4,4,4,4
5,2,2,2,2,2,2
6,0,1,1,5,5,6
7,1,1,1,5,5,6
8,2,2,2,2,2,1
9,1,3,4,5,6,7
10,1,3,4,5,6,7
11,1,3,4,5,6,7
12,2,2,2,2,2,2
13,2,3,4,4,6,7
14,2,2,2,2,6,7
15,2,2,2,2,2,2
16,2,2,2,2,2,2
17,2,2,2,2,2,2
18,2,2,2,2,2,2
19,2,2,2,2,2,2
20,2,2,2,2,2,2
21,2,2,2,2,2,2
22,2,2,2,2,2,2
23,1,3,3,3,3,3
24,0,3,3,3,3,3
25,1,1,1,1,1,3
26,0,3,3,3,3,3
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,2,1,1,1,1,1
31,0,3,3,3,3,5
32,0,3,3,3,3,5
33,2,2,2,2,2,2
34,1,1,1,1,1,1
35,1,1,4,4,1,1
36,1,1,1,1,1,1
37,1,1,1,1,1,1
38,2,2,2,2,0,0
39,1,1,1,1,1,1
40,2,2,3,5,5,5
41,2,3,3,5,5,5
42,2,2,2,5,5,5
43,2,3,3,3,3,3
44,1,1,1,1,1,1
45,1,1,1,1,1,1
46,1,1,1,1,1,1
47,1,1,1,1,1,1
48,1,1,1,1,1,1
49,1,1,1,1,1,1
50,2,3,3,3,3,3
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,99,99,99,99,99,99
55,99,99,99,99,99,99
