,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,2,4,4,5,4,6,6,7
1,1,3,4,4,3,3,8,8,8
2,0,0,0,5,5,4,6,6,7
3,1,1,3,3,3,3,3,1,1
4,1,1,4,4,2,4,6,6,7
5,1,1,1,2,2,2,1,1,1
6,1,1,3,4,6,6,8,8,8
7,1,1,1,1,2,2,1,1,1
8,0,0,0,5,5,5,5,5,5
9,1,1,4,4,3,3,3,3,3
10,1,1,1,1,2,2,1,1,1
11,0,0,4,5,4,7,7,7,10
12,1,1,1,1,1,1,2,2,2
13,1,3,3,3,3,3,3,3,3
14,1,1,1,1,1,1,2,2,2
15,1,1,1,1,1,1,2,2,2
16,1,1,1,1,2,2,2,1,1
17,1,1,1,1,1,1,2,2,2
18,1,1,1,1,1,1,2,2,2
19,1,1,1,1,1,1,2,2,2
20,1,1,1,1,1,1,2,2,2
21,1,1,1,1,2,2,8,8,8
22,0,1,1,1,1,1,2,2,2
23,2,0,2,2,6,6,3,9,9
24,2,3,3,3,3,3,3,3,3
25,1,1,3,3,3,3,3,1,3
26,2,3,3,3,3,3,3,3,3
27,2,2,2,2,6,6,1,1,6
28,2,2,2,2,2,3,1,1,3
29,2,2,2,2,6,6,1,1,6
30,1,1,4,4,3,3,3,1,9
31,0,0,0,0,0,7,7,7,9
32,1,1,4,4,4,7,7,7,9
33,1,2,4,4,2,2,1,1,9
34,2,2,2,2,2,6,1,1,9
35,2,2,2,2,6,4,6,6,7
36,2,2,2,2,2,2,1,1,5
37,1,1,1,5,5,5,5,5,5
38,1,1,0,5,5,5,5,5,9
39,2,2,2,4,6,6,4,9,6
40,2,3,4,4,4,6,4,4,4
41,0,1,4,4,4,4,4,4,4
42,2,1,4,4,4,6,4,4,4
43,2,3,3,3,3,3,3,3,3
44,2,2,2,2,6,6,6,9,6
45,2,3,3,3,3,3,3,3,3
46,2,2,2,2,6,6,8,9,6
47,1,1,0,5,5,5,5,5,5
48,1,2,2,5,5,5,5,7,10
49,2,2,2,2,6,6,7,9,6
50,2,3,3,3,3,3,3,3,3
51,2,2,2,2,6,6,6,9,6
52,0,0,4,5,4,7,7,7,10
53,2,2,2,2,6,6,1,9,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
