,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,0,3,4,4,4,7,7,7,7,7,7,7,0,
1,2,2,1,5,5,5,5,5,5,5,5,5,1,
2,2,2,1,1,1,1,1,1,1,1,1,1,2,
3,2,2,1,1,1,1,1,1,1,1,1,1,2,
4,0,3,4,4,4,7,7,7,7,7,7,7,0,
5,0,0,2,5,5,5,5,5,5,5,5,5,4,
6,1,1,4,5,5,5,5,5,5,5,5,5,1,
7,0,0,3,3,5,5,8,8,8,8,8,8,4,
8,0,3,3,3,5,5,8,8,8,8,8,8,4,
9,2,2,1,1,1,1,1,1,1,1,1,1,2,
10,2,2,1,1,1,1,1,1,1,1,1,1,2,
11,0,0,2,0,5,5,8,8,9,10,12,12,4,
12,0,1,2,5,5,5,5,5,5,5,5,5,1,
13,0,1,0,1,6,6,6,1,10,10,10,13,2,
14,1,1,4,4,4,4,4,4,4,4,4,4,1,
15,1,1,4,4,4,4,4,4,4,4,4,4,1,
16,0,0,2,5,6,6,6,6,6,6,6,6,3,
17,2,2,4,4,4,6,6,6,6,6,6,4,1,
18,1,1,4,4,4,4,4,4,4,4,4,4,1,
19,1,0,0,0,4,7,7,9,9,9,9,9,1,
20,1,1,4,4,4,4,4,4,4,4,4,4,1,
21,1,1,4,4,4,4,4,4,4,4,4,4,1,
22,1,1,4,4,5,5,5,5,5,5,5,5,1,
23,2,2,1,1,1,1,1,1,1,1,1,1,2,
24,0,0,0,0,0,0,0,0,10,10,10,13,0,
25,0,0,0,5,6,6,6,9,9,11,11,11,3,
26,1,1,4,4,4,4,4,4,4,4,4,4,1,
27,0,0,0,0,0,7,7,9,9,9,9,9,1,
28,1,3,2,2,3,3,2,2,2,2,2,10,3,
29,1,3,3,3,3,3,3,3,3,3,3,10,3,
30,2,2,1,1,1,1,1,1,1,1,1,1,2,
31,2,2,1,1,1,1,1,1,1,1,10,1,2,
32,2,2,1,1,1,1,1,1,1,1,1,1,2,
33,2,2,1,1,1,1,1,1,1,1,1,1,2,
34,0,0,0,0,0,0,0,0,10,1,10,10,2,
35,0,1,4,4,4,7,7,7,7,7,7,7,0,
36,1,3,3,3,3,3,8,8,8,8,8,8,4,
37,0,3,3,3,3,3,3,3,3,3,3,3,4,
38,1,3,2,0,0,0,0,0,6,6,10,10,3,
39,2,3,2,5,6,6,6,6,6,6,6,6,3,
40,1,1,2,2,2,2,2,2,2,2,2,2,3,
41,0,0,0,2,2,2,2,2,2,2,2,2,3,
42,1,2,2,2,2,2,2,2,2,2,2,2,3,
43,1,2,2,2,2,2,2,2,2,2,2,2,3,
44,1,3,3,3,3,3,3,3,3,3,3,10,3,
45,2,3,2,5,6,6,6,6,6,6,6,6,3,
46,2,2,2,5,6,6,6,6,6,6,6,6,3,
47,1,3,3,3,3,3,3,3,3,3,3,3,4,
48,1,3,3,3,3,3,3,3,3,3,3,10,4,
49,1,3,3,3,3,3,3,3,3,3,3,3,4,
50,2,2,2,5,6,6,2,2,2,11,11,11,3,
51,1,3,3,5,6,6,8,9,10,11,11,11,3,
52,0,0,3,3,0,0,8,8,9,9,12,12,4,
53,1,3,3,3,3,3,3,3,3,3,3,10,4,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.10526340709021594,0.1507267573596775,0.20174483629512718,0.19886118711116413,0.20715124069246607,0.21102009764742624,0.20892440519680577,0.20864572798880837,0.2074056402961098,0.20861912983753375,0.1947593203376789,0.20239895214706374,0.25719064255884744,
NMI,0.28478986514355231,0.34752887533089294,0.56839106266450146,0.59420820000275387,0.58853273692611219,0.59517943116745031,0.62436358773265732,0.67683874468787519,0.6398320117846199,0.67320601950106873,0.66675787789007823,0.69290236176592479,1.0,
Silhoutte,-0.02287695,0.01831204,0.083255,0.09675031,0.13598173,0.17090607,0.17748847,0.20528958,0.21228893,0.22688755,0.27094428,0.27805716,0.11656805,
