,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,1,3,3,3,3,3
1,1,3,3,3,3,7
2,99,99,99,99,99,99
3,0,3,2,3,3,3
4,0,3,3,3,3,3
5,2,2,0,0,6,7
6,0,3,3,0,6,7
7,2,2,2,2,2,7
8,2,2,2,2,2,2
9,99,99,99,99,99,99
10,2,2,2,2,2,2
11,2,1,1,1,1,1
12,2,2,3,2,2,2
13,2,3,2,3,3,3
14,2,2,2,2,2,2
15,2,2,2,2,2,2
16,2,2,2,2,2,2
17,2,2,2,2,2,2
18,2,2,2,2,2,2
19,2,2,2,2,2,2
20,2,2,2,2,2,2
21,2,2,3,2,6,2
22,2,2,2,2,2,6
23,2,3,2,3,3,6
24,2,3,2,3,2,6
25,1,1,1,3,3,1
26,1,1,4,4,4,4
27,1,1,4,4,4,4
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,1,4,4,4,6
31,1,1,1,1,1,1
32,1,1,1,1,1,1
33,1,1,4,4,4,4
34,1,1,4,4,4,4
35,1,1,4,4,4,4
36,1,1,1,1,1,1
37,1,1,4,4,4,4
38,0,0,0,2,6,7
39,1,1,1,1,1,1
40,2,2,3,5,5,5
41,2,2,3,5,5,5
42,2,2,3,5,5,5
43,1,1,4,4,4,4
44,1,1,4,4,4,4
45,1,1,1,1,1,1
46,1,1,4,4,4,4
47,1,1,1,1,1,1
48,1,1,1,1,1,1
49,1,1,1,1,1,1
50,1,3,4,4,4,4
51,1,1,4,4,4,4
52,2,2,4,4,4,4
53,1,1,4,4,4,4
54,99,99,99,99,99,99
55,99,99,99,99,99,99
