,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,1,3,3,3,3,3,3
1,1,3,3,3,3,3,3
2,1,3,3,3,3,3,3
3,2,1,4,5,5,5,5
4,2,3,3,3,3,3,3
5,2,2,2,5,5,5,5
6,1,1,4,5,5,5,5
7,2,2,4,5,5,5,5
8,2,2,2,2,2,2,2
9,1,3,3,3,3,3,3
10,1,3,1,1,1,1,1
11,2,2,2,2,2,2,2
12,2,2,2,5,5,5,2
13,2,1,4,5,5,5,5
14,2,1,1,1,1,7,7
15,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2
21,1,3,3,3,3,3,3
22,2,2,2,2,2,2,2
23,2,3,4,5,5,5,5
24,1,1,1,1,6,6,6
25,0,0,0,0,0,7,7
26,2,2,2,5,6,7,2
27,1,1,1,1,1,1,1
28,1,1,4,4,4,4,4
29,1,1,1,1,1,1,1
30,2,1,4,4,4,4,4
31,1,1,4,4,4,4,4
32,0,3,4,4,4,4,4
33,2,1,4,4,4,4,4
34,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
36,1,3,3,3,3,3,3
37,1,3,3,3,3,3,3
38,1,1,1,1,1,1,1
39,2,2,2,2,2,2,2
40,1,1,1,5,6,6,6
41,0,0,0,4,6,6,6
42,1,1,1,1,6,6,8
43,2,2,2,5,5,6,6
44,1,1,1,1,1,1,1
45,2,2,2,0,5,5,8
46,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1
51,1,3,1,5,1,1,1
52,1,3,3,3,3,3,3
53,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
