,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,1,3,4,5,3,3
1,1,3,4,5,3,3
2,1,3,4,5,3,3
3,2,2,2,5,6,6
4,0,3,3,5,3,3
5,2,2,4,4,4,4
6,1,2,4,5,3,3
7,1,1,4,5,3,3
8,0,0,4,4,4,4
9,2,2,2,5,6,6
10,0,0,4,4,4,4
11,0,0,4,4,4,4
12,1,2,4,4,4,4
13,1,1,3,4,6,6
14,1,3,3,3,5,5
15,2,3,3,3,5,5
16,2,3,3,3,5,5
17,2,3,3,3,5,5
18,2,3,3,3,5,5
19,2,3,3,3,5,5
20,2,3,3,3,5,5
21,2,3,3,3,5,5
22,1,1,1,1,1,1
23,2,2,2,5,6,6
24,2,2,2,5,6,6
25,1,1,1,1,1,1
26,1,3,3,3,5,5
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,2,2,2,2,2,2
31,2,2,2,2,2,2
32,2,2,2,2,2,2
33,2,2,2,2,2,2
34,2,2,2,2,2,2
35,0,2,4,5,3,3
36,1,1,1,1,1,1
37,1,1,1,2,6,7
38,1,1,1,2,6,7
39,1,1,1,1,1,1
40,1,1,1,1,1,1
41,0,0,0,0,0,7
42,1,1,1,1,1,1
43,1,1,1,1,1,1
44,1,1,1,1,1,1
45,1,1,1,1,1,1
46,1,1,1,1,1,1
47,1,1,1,1,1,1
48,1,1,1,1,1,1
49,1,1,1,1,1,1
50,2,2,2,2,2,2
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,99,99,99,99,99,99
