,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,2,5,6,6,6,6,1,0
1,0,3,4,3,3,3,3,3,1,1
2,2,2,2,5,6,6,6,6,1,0
3,1,3,4,4,4,3,7,7,1,1
4,2,2,2,5,6,6,6,6,1,0
5,0,3,3,3,3,7,8,8,1,1
6,0,3,3,3,3,3,3,3,1,1
7,0,3,3,3,3,3,3,3,1,1
8,0,3,3,3,3,7,3,3,1,1
9,0,0,4,4,4,5,7,7,7,2
10,1,3,3,3,3,7,8,8,1,1
11,99,99,99,99,99,99,99,99,99,99
12,2,3,3,3,3,7,8,8,1,1
13,2,2,2,5,5,5,5,5,7,1
14,2,2,2,2,2,2,2,2,7,3
15,2,2,2,2,2,2,2,2,7,3
16,2,2,0,2,2,7,8,9,7,1
17,2,2,2,2,2,2,2,2,7,3
18,2,2,2,2,2,2,2,2,7,3
19,2,2,2,2,2,2,2,2,7,3
20,1,1,1,2,2,2,2,1,7,1
21,2,2,2,2,2,2,2,2,7,3
22,99,99,99,99,99,99,99,99,99,99
23,0,0,0,5,5,7,7,7,7,2
24,2,2,2,5,5,5,7,7,7,2
25,0,3,3,5,5,5,5,5,7,2
26,2,2,2,2,5,5,2,2,7,1
27,1,1,1,1,1,1,1,1,3,4
28,1,1,1,1,1,1,1,1,3,4
29,1,1,1,1,1,1,1,1,3,4
30,1,1,4,4,4,4,4,4,3,1
31,1,1,4,4,4,4,4,4,3,1
32,1,1,1,1,1,1,1,1,3,4
33,0,0,4,4,4,4,4,4,3,1
34,99,99,99,99,99,99,99,99,99,99
35,2,2,2,5,6,6,6,6,1,0
36,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1,3,4
39,1,1,1,1,1,1,1,1,3,4
40,1,1,1,1,1,1,1,1,3,4
41,1,1,1,1,1,1,1,1,3,4
42,1,1,1,1,1,1,1,1,3,4
43,0,0,0,5,5,5,5,5,7,2
44,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,1,8,8,3,4
47,99,99,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1,3,4
49,1,1,1,1,1,1,1,1,3,4
50,1,1,1,1,1,1,1,1,3,4
51,1,1,1,1,1,1,1,1,3,4
52,1,1,1,1,1,1,8,9,3,4
53,1,1,1,1,1,1,1,1,3,4
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.11313604352439544,0.12558454180652603,0.12483817950556768,0.14900536673873363,0.14986407844155283,0.1407413059424628,0.1442674708721978,0.1371920805370515,0.1617714468695596,0.1330832068257108
NMI,0.41176275279648816,0.59725296588715182,0.50203341996348827,0.65507613071812132,0.72615654757298276,0.71789939855078677,0.62406322802558845,0.59484354379839122,1.0,0.60014180978424503
