,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,1,2,2,3,3,3,8,8,8,8,3,
1,0,0,0,1,6,6,6,6,6,6,3,
2,0,3,3,3,3,3,3,3,3,3,3,
3,2,2,2,4,2,7,7,2,2,2,0,
4,0,3,3,3,3,3,8,8,8,8,3,
5,0,0,0,0,0,0,0,0,10,10,3,
6,0,0,0,0,6,6,6,6,6,6,3,
7,0,3,3,5,5,5,5,5,5,5,3,
8,0,1,4,5,5,5,5,5,5,5,3,
9,0,0,4,4,4,4,4,7,7,3,1,
10,2,3,3,3,3,3,3,3,3,3,3,
11,2,2,2,2,2,2,2,3,7,9,0,
12,2,3,3,3,2,2,3,3,3,3,3,
13,2,3,3,4,6,7,7,2,2,2,0,
14,2,2,2,2,2,7,7,2,2,2,0,
15,2,2,2,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,2,2,9,0,
17,2,2,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,2,2,2,2,0,
22,2,2,2,2,2,2,2,2,2,2,0,
23,0,3,3,5,0,7,7,7,7,7,3,
24,1,1,1,1,1,1,1,1,1,1,2,
25,1,1,1,1,1,1,1,1,1,1,2,
26,2,2,2,4,6,7,7,2,2,2,0,
27,1,1,1,1,1,1,1,1,1,1,2,
28,1,1,1,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,1,1,1,2,
30,1,1,4,4,4,4,4,4,4,4,1,
31,1,1,4,4,4,4,4,4,4,4,1,
32,1,1,4,4,4,4,4,4,4,4,1,
33,1,1,4,4,4,4,4,4,4,4,1,
34,1,1,1,1,1,1,1,1,1,1,2,
35,0,3,3,3,3,3,8,8,8,8,3,
36,1,1,4,5,5,5,5,5,5,5,3,
37,1,1,1,5,5,5,5,5,5,5,3,
38,1,3,1,1,1,1,1,1,1,11,2,
39,1,1,1,1,1,1,1,1,1,1,2,
40,1,1,1,1,1,1,1,9,9,7,2,
41,1,3,3,1,1,1,1,9,9,7,2,
42,1,1,1,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,1,1,1,1,2,
51,1,1,1,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12587332582860586,0.10696831902553235,0.10955286675226168,0.12316402874980716,0.12812676472908524,0.12422257322413272,0.11937535120616784,0.11403774103872069,0.11172848436024883,0.10196805757698969,0.1363709609967991,
NMI,0.63987417639916522,0.52497475248879799,0.69946666665998503,0.7858630631191339,0.80158510903509506,0.78868826890703025,0.809031710438052,0.78114694572085563,0.7838937907106831,0.7547272082580585,1.0,
Silhoutte,0.17110434,0.17106299,0.17101874,0.18700306,0.22104602,0.23950012,0.26825455,0.28399445,0.27915281,0.24798397,0.17392575,
